lake;ID_lake;latitude;longitude;MPs_m3
Alqueva;1338;38,1975;-7,49639;1,816745656
Avery;NA;46,41501;-84,77365;0,085614972
Azul;173672;37,855;-25,78639;2,609165067
Bourget;14167;45,80479;5,828;0,224700225
Bueng Boraphet;15728;15,68333;100,25;1,076664554
Cecebre;171867;43,27786;-8,27611;0,82205029
Clinton;9232;38,8976;-95,3883;0,253259128
Dickie;109844;45,15072;-79,09106;0,720846413
Dongqian;15339;29,7667;120,1667;2,960533807
Doninos;1362912;43,49169;-8,3123;0,625504439
Erken;12809;59,8952;18,6334;0,106928999
EsrumSo;13162;56,00389;12,38055;0,701107011
Forest ;NA;-27,62258;152,96519;3,062284569
Iseo ;14185;45,71667;10,06667;0,875099443
Kasumigaura;1361;36,04028;140,39417;1,521332161
Lugano;14140;45,98333;8,96666;11,50422698
Lunz;1348383;47,85333;15,05361;0,753920386
Maggiore;1275;45,67346;8,6822;8,243424758
McNearny;1027525;46,4271;-84,95576;0,35939463
Meirama;NA;43,19499;-8,42427;1,843971631
Mogan;172906;39,76667;32,79167;3,129213483
Mozhaysz;13243;55,53677;35,95559;0,778322973
Neagh;163604;53,93992;-9,57356;2,270933137
North;NA;46,46138;-84,6123;0,633219109
Peipsi;103;58,6522;27,45645;0,910865322
Plastic;1039840;45,1796;-78,8218;0,255784211
Rivadavia;10608;-42,66085;-71,68564;0,394375857
Rotorua;16649;-38,0833;176,2667;1,799928878
Sau;172244;41,96806;2,41306;2,878193211
Sibaya;16389;-27,35625;32,69375;0,727213963
Stechlin;164428;53,15155;13,02617;4,247871026
Taharoa;184850;-35,8094;173,6461;1,393982286
Tahoe;792;39,09685;-120,03235;5,444285487
Tanganyika;17;-6,5;29,5;2,599817598
Vortstjarv;1164;58,28333;26,03333;0,346677132
Wdzydze;13422;53,97528;17,90528;0,181021341
Windermere;13387;54,28891;-2,95211;0,514482688
Wiritoa;1427044;-39,9764;175,0888;0,467639357
