lake;sample_lake;slide_numb;plastic_code;shape;shape_fra_fib;shape_code;color;width_mm;dim_type;polymer;
Alqueva;Alqueva_2;317;317_1;Fiber;Fiber;1;Black;1,7;meso_small;anthropogenic;
Alqueva;Alqueva_2;317;317_2;Fiber;Fiber;1;Black;2,67;meso_small;;
Alqueva;Alqueva_2;317;317_3;Fiber;Fiber;1;Black;3,86;meso_small;;
Alqueva;Alqueva_2;317;317_4;Fiber;Fiber;1;Clear;9,02;meso_large;;
Alqueva;Alqueva_2;317;317_5;Fiber;Fiber;1;Black;1,64;meso_small;;
Alqueva;Alqueva_2;317;317_6;Fragment;Fragment;2;Other;0,54;micro;;
Alqueva;Alqueva_2;317;317_7;Fiber;Fiber;1;Black;54,76;macro;anthropogenic;
Alqueva;Alqueva_2;319;319_1;Fiber;Fiber;1;Other;0,89;micro;anthropogenic;
Alqueva;Alqueva_2;319;319_2;Fiber;Fiber;1;Black;2,12;meso_small;;
Alqueva;Alqueva_2;319;319_3;Fiber;Fiber;1;Black;0,99;micro;;
Alqueva;Alqueva_2;321;321_2;Fragment;Fragment;2;White;0,28;micro;;
Alqueva;Alqueva_2;321;321_3;Fiber;Fiber;1;White;1,21;meso_small;;
Alqueva;Alqueva_2;321;321_4;Other;Other;4;Black;2,25;meso_small;;
Alqueva;Alqueva_2;321;321_5;Fragment;Fragment;2;Clear;0,71;micro;polyethylene;
Alqueva;Alqueva_2;321;321_6;Film;Other;3;Clear;1,41;meso_small;;
Alqueva;Alqueva_2;321;321_7;Fragment;Fragment;2;White;0,95;micro;;
Alqueva;Alqueva_2;321;321_8;Fiber;Fiber;1;White;2,17;meso_small;;
Alqueva;Alqueva_2;321;321_9;Fragment;Fragment;2;Black;2,46;meso_small;polypropylene;
Alqueva;Alqueva_2;321;321_10;Fiber;Fiber;1;Black;0,58;micro;;
Alqueva;Alqueva_2;321;321_11;Fragment;Fragment;2;Other;0,69;micro;;
Alqueva;Alqueva_2;321;321_12;Film;Other;3;Clear;0,74;micro;;
Alqueva;Alqueva_2;321;321_13;Fragment;Fragment;2;Other;0,3;micro;;
Alqueva;Alqueva_2;321;321_14;Film;Other;3;Clear;2,05;meso_small;polyamide;
Alqueva;Alqueva_2;321;321_15;Film;Other;3;Clear;1,02;meso_small;polyamide;
Alqueva;Alqueva_2;321;321_16;Fiber;Fiber;1;Black;1,08;meso_small;;
Alqueva;Alqueva_2;321;321_17;Film;Other;3;Clear;0,8;micro;;
Alqueva;Alqueva_2;338;338_1;Fiber;Fiber;1;Other;0,33;micro;;
Alqueva;Alqueva_2;338;338_2;Fragment;Fragment;2;Other;0,76;micro;;
Alqueva;Alqueva_2;338;338_3;Fragment;Fragment;2;Blue;0,43;micro;polypropylene;
Alqueva;Alqueva_2;338;338_4;Fragment;Fragment;2;White;0,44;micro;;
Alqueva;Alqueva_2;338;338_5;Fiber;Fiber;1;Blue;1,11;meso_small;;
Alqueva;Alqueva_2;338;338_6;Fragment;Fragment;2;Other;0,54;micro;;
Alqueva;Alqueva_2;338;338_7;Fiber;Fiber;1;Other;1,64;meso_small;;
Alqueva;Alqueva_2;338;338_8;Fiber;Fiber;1;Other;4,35;meso_small;;
Alqueva;Alqueva_2;338;338_9;Fragment;Fragment;2;Clear;0,55;micro;;
Alqueva;Alqueva_2;338;338_10;Fragment;Fragment;2;Other;0,85;micro;polypropylene;
Alqueva;Alqueva_2;338;338_11;Fiber;Fiber;1;Blue;1,04;meso_small;;
Alqueva;Alqueva_2;338;338_12;Fiber;Fiber;1;Other;0,62;micro;;
Alqueva;Alqueva_2;338;338_13;Fiber;Fiber;1;Blue;0,19;micro;;
Alqueva;Alqueva_2;338;338_14;Fragment;Fragment;2;White;0,27;micro;;
Alqueva;Alqueva_2;338;338_15;Fiber;Fiber;1;Blue;0,64;micro;;
Alqueva;Alqueva_2;338;338_16;Fragment;Fragment;2;Clear;0,26;micro;;
Alqueva;Alqueva_3;322;322_1;Fragment;Fragment;2;Blue;1,19;meso_small;polypropylene;
Alqueva;Alqueva_3;322;322_2;Fiber;Fiber;1;Black;2,1;meso_small;;
Alqueva;Alqueva_3;322;322_3;Fiber;Fiber;1;Black;3,07;meso_small;;
Alqueva;Alqueva_3;322;322_4;Fragment;Fragment;2;Black;2,47;meso_small;;
