_id,Water System No,Water System Name,Principal County Served,Federal Water System Type -CODE,Federal Water System Type,State Water System Type -CODE,State Water System Type,Water System Status -CODE,Water System Status,Owner Type -CODE,Owner Type,Primary Water Source Type -CODE,Primary Water Source Type,Residential Population,Non Transient Population,Transient Population,Total Population,Number of Service Connections Agricultural,Number of COMBINED Service Connections (CB),Number of Commercial (CM) Service Connections,Numer of Institutional Service Conections,Number of Residential Service Connections,Total Number of Service Connections,Fee Code,Fee Code Description,Date of Sanitary Survey visit (SNSV Visit Date),CITY,Treatment Plant Class-CODE,Treatment Plant Class,Distribution System Class-CODE,Distribution System Class
1,CA1900045,1000 TRAILS / SOLEDAD CANYON PRESERVE,LOS ANGELES,NC,Transient Non-Community,NC  ,Transient Non-Community,A,ACTIVE,P,Private,GW ,Groundwater,,,800,800,,182,,,,182,N1   ,Transient-Noncommunity Water System,11/22/2017,,,#N/A,D1   ,Distribution Operator Level 1
2,CA2800014,11:11,NAPA,NC,Transient Non-Community,NC  ,Transient Non-Community,A,ACTIVE,P,Private,GW ,Groundwater,,,25,25,,1,,,,1,N1   ,Transient-Noncommunity Water System,6/17/2015,NAPA,,#N/A,NR   ,Not Required
3,CA4000725,141 SUBURBAN ROAD WATER SUPPLY,SAN LUIS OBISPO,NTNC,Non-Transient Non-Community,NTNC,Non-Transient Non-Community,A,ACTIVE,P,Private,GW ,Groundwater,,25,,25,,1,,,,1,,#N/A,6/23/2014,SAN LUIS OBISPO,,#N/A,D1   ,Distribution Operator Level 1
4,CA1700725,3 BROTHERS TRAVEL PLAZA,LAKE,NC,Transient Non-Community,NC  ,Transient Non-Community,A,ACTIVE,P,Private,GW ,Groundwater,,,25,25,,2,,,,2,N1   ,Transient-Noncommunity Water System,1/13/2013,UPPER LAKE,TD   ,Treatment or distribution operator of any grade,D1   ,Distribution Operator Level 1
5,CA0901281,30 MILESTONE TRACT #1,EL DORADO,NC,Transient Non-Community,NC  ,Transient Non-Community,A,ACTIVE,P,Private,SW ,Surface Water,,,30,30,,14,,,,14,XS   ,State Small Water System,,,,#N/A,NR   ,Not Required
6,CA0901282,30 MILESTONE TRACT #2,EL DORADO,NP,Non-Public,NP  ,Non-Public,A,ACTIVE,P,Private,   ,#N/A,,20,,20,,15,,,,15,XS   ,State Small Water System,10/9/2007,,,#N/A,NR   ,Not Required
7,CA3500557,33RD DISTRICT AGRICULTURAL ASSOCIATION,SAN BENITO,NC,Transient Non-Community,NC  ,Transient Non-Community,A,ACTIVE,S,State Government,GW ,Groundwater,,,9000,9000,,23,,,,23,N1   ,Transient-Noncommunity Water System,5/1/2015,TRES PINOS,,#N/A,NR   ,Not Required
8,CA2400300,4 STOP DELI-MARKET,MERCED,NC,Transient Non-Community,NC  ,Transient Non-Community,A,ACTIVE,P,Private,GW ,Groundwater,,,26,26,,1,,,,1,N1   ,Transient-Noncommunity Water System,7/8/2015,LE GRAND,,#N/A,,#N/A
9,CA0900616,47 MILESTONE/ASPEN CREEK TRACT,EL DORADO,NP,Non-Public,NP  ,Non-Public,A,ACTIVE,F,Federal Government,   ,#N/A,24,,,24,,10,,,,10,XS   ,State Small Water System,,TWIN BRIDGES,,#N/A,NR   ,Not Required
10,CA5500120,49ER TRAILER RANCH,TUOLUMNE,C,Community,C   ,Community,A,ACTIVE,P,Private,GW ,Groundwater,81,,40,121,,80,,,,80,SC   ,Small Community,12/12/2017,COLUMBIA,,#N/A,D1   ,Distribution Operator Level 1
