X,Y,OBJECTID,Internal_ID,State_ID,Dam_Name,National_ID,Latitude,Longitude,County,Owner_Name,Owner_Type,Dam_Type,Year_Built,Dam_Height_feet,Dam_Length_feet,Capacity_acre_feet,Jurisdictional_Status,Downstream_Hazard,Condition_Assessment,Restricted,Date_Data_Applies,Data_Source,Record_Last_Edited,Record_Last_Edited_By,Comment_
-13064967.5092,4090804.8102,1,22,No. 87-20,Amethyst Basin,CA10405,34.4605,-117.3646,San Bernardino,County of San Bernardino Department of Public Works,"County, county agency, or county district",ERTH,2019,45,600,347.67,Certified,Extremely High,Satisfactory,No,2023/10/03 00:00:00+00,DSOD,2023/10/03 00:00:00+00,DSOD,
-13640099.6583,4628008.3624,2,34,No. 1-13,Fern Lake,CA00007,38.3431,-122.5311,Sonoma,Sonoma Developmental Center,State agency,ERTH,1921,40,300,241,Certified,High,Satisfactory,No,2023/10/03 00:00:00+00,DSOD,2023/10/03 00:00:00+00,DSOD,
-13623101.1721,4634922.8268,3,35,No. 1-14,Veterans Home,CA00008,38.3918,-122.3784,Napa,California Department of Veteran Affairs,State agency,ERTH,1908,47,320,39,Certified,High,Fair,No,2023/10/03 00:00:00+00,DSOD,2023/10/03 00:00:00+00,DSOD,
-13486690.2681,4678647.159,4,37,No. 1-16,Mount Stoneman,CA00009,38.699,-121.153,Sacramento,California Department of Corrections and Rehabilitation,State agency,ERTH,1937,43,420,33,Certified/Inop,Low,Satisfactory,No,2023/10/03 00:00:00+00,DSOD,2023/10/03 00:00:00+00,DSOD,
-13638697.0328,4629669.1131,5,39,No. 1-18,Suttenfield,CA00010,38.3548,-122.5185,Sonoma,Sonoma Developmental Center,State agency,ERTH,1938,76,965,600,Certified,Extremely High,Satisfactory,No,2023/10/03 00:00:00+00,DSOD,2023/10/03 00:00:00+00,DSOD,
-13609086.0482,4618701.7665,6,28,No. 1-5,Lake Camille,CA00003,38.2775,-122.2525,Napa,Department of State Hospitals-Napa,State agency,ERTH,1880,30,600,47,Certified,High,Satisfactory,No,2023/10/03 00:00:00+00,DSOD,2023/10/03 00:00:00+00,DSOD,
-13606503.436,4616192.129,7,29,No. 1-6,Lake Marie,CA00004,38.2598,-122.2293,Napa,Department of State Hospitals-Napa,State agency,ERTH,1908,60,454,170,Certified,High,Satisfactory,No,2023/10/03 00:00:00+00,DSOD,2023/10/03 00:00:00+00,DSOD,
-13619427.6289,4642254.1184,8,40,No. 1-21,Rector Creek,CA00011,38.4434,-122.3454,Napa,California Department of Veteran Affairs,State agency,ERTH,1946,164,890,4587,Certified,Extremely High,Satisfactory,No,2023/10/03 00:00:00+00,DSOD,2023/10/03 00:00:00+00,DSOD,
-13604232.5184,4465567.6358,9,41,No. 1-23,Sempervirens,CA00013,37.1896,-122.2089,Santa Cruz,California Department of Parks and Recreation,State agency,ERTH,1951,42,260,78,Certified,Significant,Satisfactory,No,2023/10/03 00:00:00+00,DSOD,2023/10/03 00:00:00+00,DSOD,
-13457079.2835,4224903.1225,10,48,No. 1-40,Whale Rock,CA00029,35.4478,-120.887,San Luis Obispo,Whale Rock Commission,Water agency or authority,ERTH,1960,193,850,40662,Certified,Extremely High,Satisfactory,No,2023/10/03 00:00:00+00,DSOD,2023/10/03 00:00:00+00,DSOD,
