"MicroplasticConcentration","Morphology","Color","Width","Polymer","AnalysisOrganization","Latitude","Longitude","TreatmentLevel","MicroplasticConcentration2000","MicroplasticConcentration2001","MicroplasticConcentration2002","MicroplasticConcentration2003","MicroplasticConcentration2004","MicroplasticConcentration2005","MicroplasticConcentration2006","MicroplasticConcentration2007","MicroplasticConcentration2008","MicroplasticConcentration2009","MicroplasticConcentration2010","MicroplasticConcentration2011","MicroplasticConcentration2012","MicroplasticConcentration2013","MicroplasticConcentration2014","MicroplasticConcentration2015","MicroplasticConcentration2016","MicroplasticConcentration2017","MicroplasticConcentration2018","MicroplasticConcentration2019","MicroplasticConcentration2020","MicroplasticConcentration2021","MicroplasticConcentration2022","MicroplasticConcentration2023","MicroplasticConcentration2024"
1.816745656,"Fiber Bundle","Red",1.7,"Polyvinylethers","quis nostrud exercitation ullamco laboris",34.4605,-117.3646,"Primary",1.334846964,1.558129865,2.880294793,1.648470151,0.900155304,2.379295313,1.195625773,4.03197636,2.2188016,1.135641027,1.571175933,1.954799188,2.764204798,2.872406583,0.341251119,1.532436231,1.212730594,1.847329616,2.512705557,2.005595409,0.440704263,0.844549797,1.110026747,0.16179675,1.816745656
1.816745656,"Fiber Bundle","Red",2.67,"Polyacrylates (propenoates)","Excepteur sint occaecat cupidatat non proident",38.3431,-122.5311,"Filtered",1.629887366,1.458338223,1.726985163,2.059611433,2.2272285,1.906977114,1.719294126,1.126773891,0.514704216,1.030271178,0.360991516,2.199901465,3.991038661,2.55314245,2.197937218,3.01709709,2.744928316,1.901504879,2.128527986,1.662900533,3.030715574,-0.135299263,2.825843366,3.239535389,1.816745656
1.816745656,"Sphere","Black",3.86,"Polyethersulfones (polysulfone)","Excepteur sint occaecat cupidatat non proident",38.3918,-122.3784,"Primary",3.227818128,2.444542122,0.372975941,2.252402109,1.533748411,0.880848109,0.953175824,3.256974968,2.475385,1.131146141,2.320580929,2.075813926,3.162628819,0.090178141,2.003381743,1.432498914,1.014598995,1.515233995,0.716114134,2.777547492,2.508079826,3.771896654,1.994105682,1.766079274,1.816745656
1.816745656,"Pellet","Blue",9.02,"Polysiloxanes","ut labore et dolore magna aliqua",38.699,-121.153,"Disinfected",1.898476461,2.737231779,2.274424908,2.991600035,-0.289984108,1.498242896,2.36559269,2.569319547,1.114345565,0.135570689,0.564341947,3.808585985,2.253878217,2.190310676,2.677652654,1.966349849,2.756474947,2.398497183,1.528838783,1.72734946,1.127842126,2.630060435,2.861312535,1.665001924,1.816745656
1.816745656,"Sphere","Orange",1.64,"Polyacrylonitriles (nitriles)","in voluptate velit esse cillum dolore",38.3548,-122.5185,"Filtered",1.95098139,1.186897787,2.087230946,1.461013275,2.067155565,3.088624348,1.017922697,1.452042658,1.429325688,1.627218029,1.314392803,1.855888629,0.140794364,3.732016563,2.153446785,2.24874543,2.804643907,0.493976538,1.916706135,4.035557719,2.856473855,1.605249296,3.494680923,2.14079088,1.816745656
1.816745656,"Fiber","Purple",0.54,"Polyhydroxy(meth)acrylates","ut labore et dolore magna aliqua",38.2775,-122.2525,"Primary",3.367484471,2.55555509,1.47765365,3.011606829,0.850230319,1.351848908,1.550292537,1.848264518,2.175308108,0.365559654,2.746947126,2.454809895,-0.246672522,1.546710841,0.729939113,2.567629161,1.64880285,1.838237382,2.923058272,3.149916136,3.494012624,1.899102782,0.80945361,0.485377004,1.816745656
1.816745656,"Fiber","Green",54.76,"Polyvinylalcohols","quis nostrud exercitation ullamco laboris",38.2598,-122.2293,"Disinfected",2.2472101,3.107777904,1.990350492,0.526683017,2.659344317,0.294700386,1.450190977,1.476013593,2.768568299,2.915351741,1.483693354,1.896089233,2.172310877,1.975520647,0.877314845,2.482518635,2.269303087,2.554180495,2.807906993,1.631150148,2.721439975,2.256467651,2.010435196,1.630181966,1.816745656
1.816745656,"Pellet","Brown",0.89,"Cellulose derivatives (ether cellulose)","Duis aute irure dolor in reprehenderit",38.4434,-122.3454,"Primary",0.705472533,1.135054138,3.058706561,1.259267854,-0.354311513,2.80842298,1.974128704,1.923610233,1.40878598,2.220653952,1.762665071,3.471819733,1.911832516,2.292204213,1.461691894,1.416587468,2.900705552,2.603932735,0.330698898,1.336685195,2.921881473,1.460480126,0.918310228,0.277614868,1.816745656
1.816745656,"Sphere","Orange",2.12,"Polyterephthalates","sed do eiusmod tempor incididunt",37.1896,-122.2089,"Disinfected",1.221959924,1.252731198,2.996007602,0.627008485,1.718474719,2.880391415,1.475562142,1.392537997,1.948347794,1.525093066,1.651165882,2.492143289,1.49919498,1.760910027,1.43535561,1.479998025,2.253657605,2.276232603,1.901979709,2.840336208,1.659692708,2.749295462,2.181121589,3.722996531,1.816745656
1.816745656,"Film","Pink",0.99,"Polyethers (polyglycols, oxyalkylenes, glycidyl ethers & cyclic ethers)","ut labore et dolore magna aliqua",35.4478,-120.887,"Tertiary",1.437404828,2.416805376,1.427905132,2.111904653,0.894542609,1.293148864,0.678610559,0.875955539,0.446252345,0.941248058,1.671901515,2.833524955,2.14811896,1.124228592,2.721786807,2.728111801,1.919150288,1.958126486,2.444686916,1.550533323,1.385394489,0.604314293,1.714068608,2.700034526,1.816745656
1.816745656,"Rubbery Fragment","Black",0.28,"Polyethersulfones (polysulfone)","sed do eiusmod tempor incididunt",39.7636,-120.713,"Secondary",2.928911399,1.999002975,1.845020943,2.211430937,2.842340813,3.313047621,2.085694403,2.449811755,-0.055420031,2.441109681,3.110282952,0.030326436,2.159200696,1.145824991,2.723896583,1.674471424,0.654061927,1.01482888,2.109295281,0.366118667,3.913504944,1.458077477,1.300909584,1.8084425,1.816745656
1.816745656,"Pellet","Purple",1.21,"Polyvinylalcohols","quis nostrud exercitation ullamco laboris",39.893,-120.191,"Filtered",2.156899919,2.325690351,0.536622452,0.615285795,1.185352747,1.687142248,2.516967943,1.57292665,0.156558838,2.280897326,3.565851475,2.309982264,1.892490542,2.140513646,1.532754019,2.585376976,1.354419497,0.706279152,2.557810519,1.233298767,1.387889047,2.515012829,2.791800076,1.067503837,1.816745656
1.816745656,"Pellet","Green",2.25,"Poly(ether)ketones (polyketones)","ut enim ad minim veniam",37.7835,-121.6178,"Primary",2.193485511,3.090235439,1.185425381,1.878249672,2.67099194,0.697470974,3.327674802,1.669249131,1.115666105,1.598109006,0.870332741,1.116322194,2.213654053,0.864645529,1.018261962,0.08826195,2.40128408,2.119701964,0.40481948,3.757159406,3.319114732,0.948696555,1.63505203,2.025348268,1.816745656
1.816745656,"Fragment","Red",0.71,"Polyphenylenes (polyaromatics)","ut enim ad minim veniam",39.5204,-121.5483,"Filtered",1.934362368,2.181258344,3.629364802,1.019179103,1.417190353,1.562122051,0.537769374,1.523823193,2.750126688,3.23269977,2.144088845,2.657171266,3.626866509,2.944047852,3.105705609,2.222286943,1.1918509,2.945147185,3.075777937,3.111007733,2.729433496,2.90790597,-0.02490508,2.829441348,1.816745656
1.816745656,"Fiber","Purple",1.41,"Polysuccinates","Excepteur sint occaecat cupidatat non proident",39.5426,-121.4915,"Filtered",1.338986764,2.774931672,3.173598789,2.276621986,1.951457792,2.0626853,3.108451272,2.145223789,0.998016356,0.253979706,1.320754075,1.704070838,0.995068024,2.333003127,3.294853229,1.782195314,3.130645217,2.935339573,2.346310267,1.086892115,1.743938529,2.276612802,0.749402094,2.632452728,1.816745656
