DOI,Sample_ID,Location,Source,Date,Concentration,Polymers,Size,Shape,Color
10.1016/j.watres.2017.11.011,1.10.1016/j.watres.2017.11.011,Germany,Single Use Bottles,N/A,14 particles/L,PEST 59%; PE 9%; PP 1%; PA 1% ,> 100 um 2%; 50-100 um 5%; 20-50 um 22%; 10-20 um 30%; 5-10 um 41%,N/A,N/A
10.1016/j.watres.2017.11.011,2.10.1016/j.watres.2017.11.011,Germany,Resuable Bottles,N/A,118 particles/L,PEST 84%; PP 7%; PE 5%; PA 2%,">100 um 1%, 50-100 um 2%, 20-50 um 12%, 10-20 um 29%, 5-10 um 56%",N/A,N/A
10.1016/j.watres.2017.11.011,3.10.1016/j.watres.2017.11.011,Germany,Glass Water Bottles,N/A,50 particles/L,PEST 41%; PE 35%; PP 8%,> 100 um 3%; 50-100 um 7%; 20-50 um 14%; 10-20 um 32%; 5-10 um 45%,N/A,N/A
10.1016/j.watres.2017.11.011,4.10.1016/j.watres.2017.11.011,Germany,Beverage Cartons,N/A,11 particles/L,PE 38%; PEST 32%; PP 26%,>100 um 7%; 50-100 um 10%; 20-50 um 16%; 10-20 um 28%; 5-10 um 39%,N/A,N/A
10.1039/c6ay01184e,1.10.1039/c6ay01184e,Germany,Beer bottles,N/A,10-19 particles/0.33 L,PS; PE+PS; PE; Cellulose,1 um-5 mm,Fibers,N/A
10.1039/c6ay01184e,2.10.1039/c6ay01184e,Germany,Bottled mineral water,N/A,1 particles/0.33 L,PET,N/A,Fibers,N/A
10.3389/fchem.2018.00407,IB 101119,"Jakarta, Indonesia",Aqua (bottled water brand),N/A,37.1 particles/L,PP 54%; Nylon 16%; PS 11%; PE 10%; PEST 6%,N/A,Fragment 65%; Fiber 13%; Pellet 3%; Film 14%; Foam 5%,N/A
10.3389/fchem.2018.00407,BB 311019 08: 11 PSRL6,"Bali, Indonesia",Aqua (bottled water brand),N/A,705 particles/L,PP 54%; Nylon 16%; PS 11%; PE 10%; PEST 6%,N/A,Fragment 65%; Fiber 13%; Pellet 3%; Film 14%; Foam 5%,N/A
10.3389/fchem.2018.00407,BB 311019 09: 50 STB1,"Medan, Indonesia",Aqua (bottled water brand),N/A,404 particles/L,PP 54%; Nylon 16%; PS 11%; PE 10%; PEST 6%,N/A,Fragment 65%; Fiber 13%; Pellet 3%; Film 14%; Foam 5%,N/A
10.3389/fchem.2018.00407,Oct0719,N/A,"Aquafina (bottled water brand, purchased on Amazon)",N/A,252 particles/L,PP 54%; Nylon 16%; PS 11%; PE 10%; PEST 6%,N/A,Fragment 65%; Fiber 13%; Pellet 3%; Film 14%; Foam 5%,N/A
10.3389/fchem.2018.00407,BN7141A04117,"Chennai, India",Aquafina (bottled water brand),N/A,174 particles/L,PP 54%; Nylon 16%; PS 11%; PE 10%; PEST 6%,N/A,Fragment 65%; Fiber 13%; Pellet 3%; Film 14%; Foam 5%,N/A
10.3389/fchem.2018.00407,HE.B.No 229 (BM/AS),"Chennai, India",Bisleri (bottled water brand),N/A,826 particles/L,PP 54%; Nylon 16%; PS 11%; PE 10%; PEST 6%,N/A,Fragment 65%; Fiber 13%; Pellet 3%; Film 14%; Foam 5%,N/A
10.3389/fchem.2018.00407,MU.N.No.298 (MA/AD),"Mumbai, India",Bisleri (bottled water brand),N/A,213 particles/ L,PP 54%; Nylon 16%; PS 11%; PE 10%; PEST 6%,N/A,Fragment 65%; Fiber 13%; Pellet 3%; Film 14%; Foam 5%,N/A
10.3389/fchem.2018.00407,SO.B No.087 (AS/LB),"New Delhi, India",Bisleri (bottled water brand),N/A,3.72 particles/L,PP 54%; Nylon 16%; PS 11%; PE 10%; PEST 6%,N/A,Fragment 65%; Fiber 13%; Pellet 3%; Film 14%; Foam 5%,N/A
