Sample_ID,Source,Shape
1.10.1016/j.watres.2017.11.011,Single Use Bottles,N/A
2.10.1016/j.watres.2017.11.011,Resuable Bottles,N/A
3.10.1016/j.watres.2017.11.011,Glass Water Bottles,N/A
4.10.1016/j.watres.2017.11.011,Beverage Cartons,N/A
1.10.1039/c6ay01184e,Beer bottles,Fibers
2.10.1039/c6ay01184e,Bottled mineral water,Fibers
IB 101119,Aqua (bottled water brand),Fragment 65%; Fiber 13%; Pellet 3%; Film 14%; Foam 5%
BB 311019 08: 11 PSRL6,Aqua (bottled water brand),Fragment 65%; Fiber 13%; Pellet 3%; Film 14%; Foam 5%
BB 311019 09: 50 STB1,Aqua (bottled water brand),Fragment 65%; Fiber 13%; Pellet 3%; Film 14%; Foam 5%
Oct0719,"Aquafina (bottled water brand, purchased on Amazon)",Fragment 65%; Fiber 13%; Pellet 3%; Film 14%; Foam 5%
BN7141A04117,Aquafina (bottled water brand),Fragment 65%; Fiber 13%; Pellet 3%; Film 14%; Foam 5%
HE.B.No 229 (BM/AS),Bisleri (bottled water brand),Fragment 65%; Fiber 13%; Pellet 3%; Film 14%; Foam 5%
MU.N.No.298 (MA/AD),Bisleri (bottled water brand),Fragment 65%; Fiber 13%; Pellet 3%; Film 14%; Foam 5%
SO.B No.087 (AS/LB),Bisleri (bottled water brand),Fragment 65%; Fiber 13%; Pellet 3%; Film 14%; Foam 5%
Oct 0118NHBRB,"Dasani (bottled water brand, purchased on Amazon)",Fragment 65%; Fiber 13%; Pellet 3%; Film 14%; Foam 5%
P18NOV17CG3,Dasani (bottled water brand),Fragment 65%; Fiber 13%; Pellet 3%; Film 14%; Foam 5%
17.11.18,E-Pura (bottled water brand),Fragment 65%; Fiber 13%; Pellet 3%; Film 14%; Foam 5%
14.10.18,E-Pura (bottled water brand),Fragment 65%; Fiber 13%; Pellet 3%; Film 14%; Foam 5%
09.08.18,E-Pura (bottled water brand),Fragment 65%; Fiber 13%; Pellet 3%; Film 14%; Foam 5%
PRD 03 21 2017 14:02,"Evian (bottled water brand, purchased on Amazon)",Fragment 65%; Fiber 13%; Pellet 3%; Film 14%; Foam 5%
PRD 05 24 17 11:29,Evian (bottled water brand),Fragment 65%; Fiber 13%; Pellet 3%; Film 14%; Foam 5%
07.142018 2,Gerolsteiner (bottled water brand),Fragment 65%; Fiber 13%; Pellet 3%; Film 14%; Foam 5%
NV No. AC-51-07269,"Gerolsteiner (bottled water brand, purchased on Amazon)",Fragment 65%; Fiber 13%; Pellet 3%; Film 14%; Foam 5%
FAB: 211017 09:06SP,Minalba (bottled water brand),Fragment 65%; Fiber 13%; Pellet 3%; Film 14%; Foam 5%
FAB: 160817 15:05SP,Minalba (bottled water brand),Fragment 65%; Fiber 13%; Pellet 3%; Film 14%; Foam 5%
FAB: 091217 16:53SP,Minalba (bottled water brand),Fragment 65%; Fiber 13%; Pellet 3%; Film 14%; Foam 5%
100517 278WF246,"Nestle Pure Life (bottled water brand, purchased on Amazon)",Fragment 65%; Fiber 13%; Pellet 3%; Film 14%; Foam 5%
P: 4/11/17 03:34 AZ,Nestle Pure Life (bottled water brand),Fragment 65%; Fiber 13%; Pellet 3%; Film 14%; Foam 5%
730805210A 23:28,Nestle Pure Life (bottled water brand),Fragment 65%; Fiber 13%; Pellet 3%; Film 14%; Foam 5%
