name,description,valid_example,severity,rule
image_file,File name needs to be unique,photo.jpg,error,is_unique(ImageFile)
image_type,"Image type should be SEM, Visual, or Fluorescence",SEM,error,"ImageType %in% c(""SEM"", ""Visual"", ""Fluorescence"")"
researcher_name,The first and last name of the researcher or the name of the lab,Charles Moore and Gwen Lattin,error,is.character(researcher_name)
affiliation,The full name of the institute where the researcher is from,Moore Institute for Plastic Pollution Research,error,is.character(affiliation)
citation,"The researcher's last name and year, which study the image is from, and the full name of the institute where the researcher is from ","Lattin and Moore 2020, Interlab Comparison Study Data, Moore Institute for Plastic Pollution Research",error,is.character(citation)
instrument_name,The full name of the instrument,Nikon SMZ1270,error,"instrument_name %in% c(""Nikon SMZ1270"", ""NA"", ""MEIJI TECHNO EMZ-8TR with OptixCAM summit K2"", ""Olympus MVX-ZB10"")"
analysis_date,The year the image was analyzed,2020,error,"!is.na(analysis_date) & grep1(""^\\d{4}(-\\d{4})?$"", analysis_date)"
polymer_type_of_particle,The polymer type of the particle or should be an 'NA' if it is unknown,Organic Matter,error,"polymer_type_of_particle %in% c(""NA"", ""Polyethylene"", ""Polystyrene"", ""Nylon"", ""Polypropylene"", ""Organic Matter"", ""Other Plastic"", ""PE"", ""PS"", ""cellulose"", ""PET"", ""PVC"", ""Mineral"")"
polymer_type_of_particle_original,The original source of the particle or should be an 'NA' if it is unknown,cotton,warning,"polymer_type_of_particle_original %in% c(""NA"", ""Polyethylene"", ""Polystyrene"", ""Nylon"", ""Polypropylene"", ""Organic Matter"", ""Other Plastic"", ""PE"", ""PS"", ""cellulose"", ""PET"", ""PVC"", ""Mineral"", ""cotton"")"
magnification,Magnification of the analysis must have an 'x' after the number,7-10x,error,"is.character(magnification) & grep1(""^\\d+-\\d+x$|^NA$"", magnification)"
color,"The color of the particle should be one word with the first letter capitalized, or 'Unknown' if it is not recorded",Yellow,error,"color %in% c(""Green"", ""White"", ""Black"", ""Transparent"", ""Pink"", ""Blue"", ""Grey"", ""Purple"", ""Red"", ""Yellow"", ""Orange"", ""Brown"", ""Other"", ""Unknown"")"
color_original,"The original color before analysis should be one word with the first letter capitalized, or 'NA' if it is not recorded",Yellow,warning,"color_original %in% c(""Green"", ""White"", ""Black"", ""Transparent"", ""Pink"", ""Blue"", ""Grey"", ""Purple"", ""Red"", ""Yellow"", ""Orange"", ""Brown"", ""Other"", ""Unknown"")"
morphology,"The morphology of the particle should be one word with the first letter capitalized, or 'NA' if it is not recorded",Fiber,error,"morphology %in% c(""Sphere"", ""Film"", ""Fiber"", ""Fragment"", ""Foam"", ""Fiber Bundle"", ""Bead"", ""Nurdle"", ""NA"")"
morphology_original,"The original morphology before analysis should be one word with the first letter capitalized, or 'NA' if it is not recorded",Fiber,warning,"morphology_original %in% c(""Sphere"", ""Film"", ""Fiber"", ""Fragment"", ""Foam"", ""Fiber Bundle"", ""Bead"", ""Nurdle"", ""NA"")"
size_of_particle,The size of the particle should have a unit after the number and can be a range,20-212 um,error,"is.character(size_of_particle) & grep1(""^\\d+-\\d+ um$|^>\\d+ um$|^NA$"", size_of_particle)"
size_dimension,The name of the size used to describe the plastic rather than the exact dimensions,Nominal,error,"size_dimension %in% c(""Nominal"", ""nominal"")"
