name,description,dataset,valid_example,severity,rule
MethodologyID_valid,URL address is valid and can be found on the internet. ,methodology,https://www.waterboards.ca.gov/drinking_water/certlic/drinkingwater/documents/microplastics/mcrplsts_plcy_drft.pdf,error,check_exists_in_zip(MethodologyID)
methodology_MethodologyID_fk,Online identifier for methodology needs to be a foreign key,methodology,https://www.waterboards.ca.gov/drinking_water/certlic/drinkingwater/documents/microplastics/mcrplsts_plcy_drft.pdf,error,is_foreign_key(MethodologyID)
methodology_MethodologyID,Online identifier for methodology,methodology,https://www.waterboards.ca.gov/drinking_water/certlic/drinkingwater/documents/microplastics/mcrplsts_plcy_drft.pdf,error,is_unique(MethodologyID) & !is.na(MethodologyID)
SamplingDevice,Device used to collect sample and dimensions,methodology,10 L Glass Jar,error,!is.na(SamplingDevice)
AirFiltration,Is there HEPA air filtration system in the lab?,methodology,Yes,error,"AirFiltration %in% c(""Yes"", ""No"")"
AirFiltrationType,What is the type of HEPA air filtration system in the lab?,methodology,"Honeywell 10500 (EV-10) 17000 17005 Air Purifiers, Part Number 20500",error,is.na(AirFiltrationType) | !is.na(AirFiltrationType)
ClothingPolicy,Is synthetic clothing restricted from the lab?,methodology,Yes,error,"ClothingPolicy  %in% c(""Yes"", ""No"")"
NonplasticPolicy,Are synthetic materials restricted from contacting the sample?,methodology,Yes,error,"NonplasticPolicy  %in% c(""Yes"", ""No"")"
SealedEnvironment,Is a sealed environment used to minimize contamination?,methodology,No,error,"SealedEnvironment  %in% c(""Yes"", ""No"")"
SealedEnvironmentType,Type of sealed environment used?,methodology,Glove Box,error,is.na(SealedEnvironmentType) | !is.na(SealedEnvironmentType)
SieveMeshSizes,Mesh sizes of seives used (um),methodology,"50, 300, 1000",error,!is.na(SieveMeshSizes)
FilterType,Filter material type,methodology,gold coated polycarbonate,error,!is.na(FilterType)
FilterDiameter_blank,Diameter of filter in mm must not be blank,methodology,45,error,!is.na(FilterDiameter)
FilterDiameter,Diameter of filter in mm,methodology,45,error,"in_range(as.numeric(FilterDiameter), min =  5,  max =  100)"
FilterPoreSize_blank,Filter pore size in um,methodology,10,error,!is.na(FilterPoreSize)
FilterPoreSize,Filter pore size in um,methodology,10,error,"in_range(as.numeric(FilterPoreSize), min = 1, max = 100)"
VisIDMethod,Visual confirmation methods used e.g. visual microscopy SEM,methodology,Visual Microscopy,error,"VisIDMethod %in% c(""Visual Microscopy"", ""SEM"")"
VisualSoftware,Software used for visual analysis,methodology,Image J,error,!is.na(VisualSoftware)
PickingStrategy,Picked wet or picked dry,methodology,Dry,error,"PickingStrategy %in% c(""Dry"", ""Wet"")"
VisMagnification,Magnification of the microscope during the visual image in times e.g. 40,methodology,10,error,"in_range(as.numeric(VisMagnification), min = 1, max = 1000)"
MatIDMethod,"Material identification method e.g. pygcms, raman, ftir",methodology,FTIR,error,"MatIDMethod %in% c(""FTIR"", ""Raman"", ""PyGCMS"")"
MatIDSoftware,Material ID software used,methodology,Open Specy,error,!is.na(MatIDSoftware)
ParticleID_blank,Unique ID for each particle cannot be blank,particles,1_23jreh334,error,!is.na(ParticleID)
ParticleID,Unique ID for each particle must be unique,particles,1_23jreh334,error,is_unique(ParticleID)
