"Primary
Street Suffix
Name","Commonly
Used Street
Suffix or
Abbreviation","Postal Service
Standard
Suffix
Abbreviation"
ALLEY,ALLEE,ALY
,ALLEY,
,ALLY,
,ALY,
ANEX,ANEX,ANX
,ANNEX,
,ANNX,
,ANX,
ARCADE,ARC,ARC
,ARCADE,
AVENUE,AV,AVE
,AVE,
,AVEN,
,AVENU,
,AVENUE,
,AVN,
,AVNUE,
BAYOU,BAYOO,BYU
,BAYOU,
BEACH,BCH,BCH
,BEACH,
BEND,BEND,BND
,BND,
BLUFF,BLF,BLF
,BLUF,
,BLUFF,
BLUFFS,BLUFFS,BLFS
BOTTOM,BOT,BTM
,BTM,
,BOTTM,
,BOTTOM,
BOULEVARD,BLVD,BLVD
,BOUL,
,BOULEVARD,
,BOULV,
BRANCH,BR,BR
,BRNCH,
,BRANCH,
BRIDGE,BRDGE,BRG
,BRG,
,BRIDGE,
BROOK,BRK,BRK
,BROOK,
BROOKS,BROOKS,BRKS
BURG,BURG,BG
BURGS,BURGS,BGS
BYPASS,BYP,BYP
,BYPA,
,BYPAS,
,BYPASS,
,BYPS,
CAMP,CAMP,CP
,CP,
,CMP,
CANYON,CANYN,CYN
,CANYON,
,CNYN,
CAPE,CAPE,CPE
,CPE,
CAUSEWAY,CAUSEWAY,CSWY
,CAUSWA,
,CSWY,
CENTER,CEN,CTR
,CENT,
,CENTER,
,CENTR,
,CENTRE,
,CNTER,
,CNTR,
,CTR,
CENTERS,CENTERS,CTRS
CIRCLE,CIR,CIR
,CIRC,
,CIRCL,
,CIRCLE,
,CRCL,
,CRCLE,
CIRCLES,CIRCLES,CIRS
CLIFF,CLF,CLF
,CLIFF,
CLIFFS,CLFS,CLFS
,CLIFFS,
CLUB,CLB,CLB
,CLUB,
COMMON,COMMON,CMN
COMMONS,COMMONS,CMNS
CORNER,COR,COR
,CORNER,
CORNERS,CORNERS,CORS
,CORS,
COURSE,COURSE,CRSE
,CRSE,
COURT,COURT,CT
,CT,
COURTS,COURTS,CTS
,CTS,
COVE,COVE,CV
,CV,
COVES,COVES,CVS
CREEK,CREEK,CRK
,CRK,
CRESCENT,CRESCENT,CRES
,CRES,
,CRSENT,
,CRSNT,
CREST,CREST,CRST
CROSSING,CROSSING,XING
,CRSSNG,
,XING,
CROSSROAD,CROSSROAD,XRD
CROSSROADS,CROSSROADS,XRDS
CURVE,CURVE,CURV
DALE,DALE,DL
,DL,
DAM,DAM,DM
,DM,
DIVIDE,DIV,DV
,DIVIDE,
,DV,
,DVD,
DRIVE,DR,DR
,DRIV,
,DRIVE,
,DRV,
DRIVES,DRIVES,DRS
ESTATE,EST,EST
,ESTATE,
ESTATES,ESTATES,ESTS
,ESTS,
EXPRESSWAY,EXP,EXPY
,EXPR,
,EXPRESS,
,EXPRESSWAY,
,EXPW,
,EXPY,
EXTENSION,EXT,EXT
,EXTENSION,
,EXTN,
,EXTNSN,
EXTENSIONS,EXTS,EXTS
FALL,FALL,FALL
FALLS,FALLS,FLS
,FLS,
FERRY,FERRY,FRY
,FRRY,
,FRY,
FIELD,FIELD,FLD
,FLD,
FIELDS,FIELDS,FLDS
,FLDS,
FLAT,FLAT,FLT
,FLT,
FLATS,FLATS,FLTS
,FLTS,
FORD,FORD,FRD
,FRD,
FORDS,FORDS,FRDS
FOREST,FOREST,FRST
,FORESTS,
,FRST,
FORGE,FORG,FRG
,FORGE,
,FRG,
FORGES,FORGES,FRGS
FORK,FORK,FRK
,FRK,
FORKS,FORKS,FRKS
,FRKS,
FORT,FORT,FT
,FRT,
,FT,
FREEWAY,FREEWAY,FWY
,FREEWY,
,FRWAY,
,FRWY,
,FWY,
