Timestamp,Image File,"Image type 
BF= bright field
FL = Fluoresence",Researcher Name,Affiliation,Citation,Instrument name,Analysis Date,Polymer-type of particle,Magnification,Color of particle,Morphology of particle,Size of particle,Size dimension
2022,pink fibres,BF,Anna Kukkola,University of Birmingham,Kukkola et al. 2022,Olympus MVX-ZB10,2022,NA,32x,Pink,Fibre,>500um,longest length
2022,sw3_grey_bf,BF,Anna Kukkola,University of Birmingham,Kukkola et al. 2022,Olympus MVX-ZB10,2022,NA,63x,Grey,Fragment,100-500um,ferret diameter
2022,sw3_grey_fl,FL,Anna Kukkola,University of Birmingham,Kukkola et al. 2022,"Olympus MVX-ZB10.
excitation filter: 470/40 nm, dichroic mirror: 495 nm high pass, emission filter: 525/50 nm, light intensity 12, 50ms exp",2022,NA,63x,Grey,Fragment,100-500um,ferret diameter
2022,triangle_bf,BF,Anna Kukkola,University of Birmingham,Kukkola et al. 2022,Olympus MVX-ZB10,2022,NA,32x,Pink(stained),Fragment,>500,ferret diameter
2022,triangle_fl,FL,Anna Kukkola,University of Birmingham,Kukkola et al. 2022,"Olympus MVX-ZB10.
excitation filter: 470/40 nm, dichroic mirror: 495 nm high pass, emission filter: 525/50 nm, light intensity 12, 50ms exp",2022,NA,32x,Pink(stained),Fragment,>501,ferret diameter
2022,SW1_F_BF,BF,Anna Kukkola,University of Birmingham,Kukkola et al. 2022,Olympus MVX-ZB10,2022,NA,32x,Grey,Fragment,>500,ferret diameter
2022,SW1_F_FL,FL,Anna Kukkola,University of Birmingham,Kukkola et al. 2022,"Olympus MVX-ZB10.
excitation filter: 470/40 nm, dichroic mirror: 495 nm high pass, emission filter: 525/50 nm, light intensity 12, 50ms exp",2022,NA,32x,Grey,Fragment,>501,ferret diameter
2022,SW2_F_BF,BF,Anna Kukkola,University of Birmingham,Kukkola et al. 2022,Olympus MVX-ZB10,2022,NA,32x,Pink(stained),Fragment,~1mm,ferret diameter
2022,SW2_F_FL,FL,Anna Kukkola,University of Birmingham,Kukkola et al. 2022,"Olympus MVX-ZB10.
excitation filter: 470/40 nm, dichroic mirror: 495 nm high pass, emission filter: 525/50 nm, light intensity 12, 50ms exp",2022,NA,32x,Pink(stained),Fragment,~1mm,ferret diameter
2022,SW2_F2_BF,BF,Anna Kukkola,University of Birmingham,Kukkola et al. 2022,Olympus MVX-ZB10,2022,NA,32x,Pink(stained),Fragment,>500,ferret diameter
