"","id","Researcher","Affilitation","Citation","Instrument","Analysis","Polymer","Magnification","Color","Morphology","SizeFraction","Dimension"
"1","1eD3Tybd3kil7ETFt7av0Ap6mA-_2UNBa","Charles Moore and Gwen Lattin","Moore Institute for Plastic Pollution Research","Lattin and Moore 2020, Interlab Comparison Study Data, Moore Institute for Plastic Pollution Research","Nikon SMZ1270","2020",NA,"60-80x","Green","Sphere",">500 um","Nominal"
"2","1O7GHapgykFSj0PXDP2tJOm_W2VxdJ0gs","Charles Moore and Gwen Lattin","Moore Institute for Plastic Pollution Research","Lattin and Moore 2020, Interlab Comparison Study Data, Moore Institute for Plastic Pollution Research","Nikon SMZ1270","2020",NA,"60-80x","White","Sphere","20-212 um","Nominal"
"3","1MvWkyTNhG0m-jr3jT5F1M1b4YU_DyCxm","Charles Moore and Gwen Lattin","Moore Institute for Plastic Pollution Research","Lattin and Moore 2020, Interlab Comparison Study Data, Moore Institute for Plastic Pollution Research","Nikon SMZ1270","2020",NA,"60-80x","White","Film","20-212 um","Nominal"
"4","1MltVQA9ivdSZ0MCftITJTfkRS4pxX6cJ","Charles Moore and Gwen Lattin","Moore Institute for Plastic Pollution Research","Lattin and Moore 2020, Interlab Comparison Study Data, Moore Institute for Plastic Pollution Research","Nikon SMZ1270","2020",NA,"60-80x","Black","Fiber","20-212 um","Nominal"
"5","1OPAeuMF1fF_EgFiJd3ZDU3nPWhKt1D8p","Charles Moore and Gwen Lattin","Moore Institute for Plastic Pollution Research","Lattin and Moore 2020, Interlab Comparison Study Data, Moore Institute for Plastic Pollution Research","Nikon SMZ1270","2020",NA,"60-80x","White","Sphere","20-212 um","Nominal"
"6","1O6SHH_lqA0iVrL5BMzcsiACKKaDXFpwY","Charles Moore and Gwen Lattin","Moore Institute for Plastic Pollution Research","Lattin and Moore 2020, Interlab Comparison Study Data, Moore Institute for Plastic Pollution Research","Nikon SMZ1270","2020",NA,"60-80x","Clear","Fiber","20-212 um","Nominal"
"7","1MoqAU_ZiGw4xLTabDLGeb9-PUVNHAZXc","Charles Moore and Gwen Lattin","Moore Institute for Plastic Pollution Research","Lattin and Moore 2020, Interlab Comparison Study Data, Moore Institute for Plastic Pollution Research","Nikon SMZ1270","2020",NA,"60-80x","Pink","Fiber","20-212 um","Nominal"
"8","1OJEijHLOtqRJiuCh9Y5iXoGXqb6mFv8Z","Charles Moore and Gwen Lattin","Moore Institute for Plastic Pollution Research","Lattin and Moore 2020, Interlab Comparison Study Data, Moore Institute for Plastic Pollution Research","Nikon SMZ1270","2020",NA,"60-80x","White","Sphere","20-212 um","Nominal"
"9","1MvR6XXziL8fB-wgA0lUpHSVUQ6NMa0c_","Charles Moore and Gwen Lattin","Moore Institute for Plastic Pollution Research","Lattin and Moore 2020, Interlab Comparison Study Data, Moore Institute for Plastic Pollution Research","Nikon SMZ1270","2020",NA,"60-80x","Clear","Fragment","20-212 um","Nominal"
"10","1NzA6KA_FKB0JhXkV68nntcDBCTRZC-SW","Charles Moore and Gwen Lattin","Moore Institute for Plastic Pollution Research","Lattin and Moore 2020, Interlab Comparison Study Data, Moore Institute for Plastic Pollution Research","Nikon SMZ1270","2020",NA,"60-80x","Clear","Fiber","20-212 um","Nominal"
