DOI,Sample_ID,Subsample_ID,Location,Approximate_Lattitude,Approximate_Longitude,Source,Date,Concentration,Concentration_Units,Color_Transparent,Color_Blue,Color_Red,Color_Brown,Color_Green,Color_Orange,Color_White,Color_Yellow,Color_Pink,Color_Black,Color_Other,Material_PEST,Material_PE,Material_PP,Material_PA,Material_PE_PS,Material_PS,Material_CA,Material_PVC,Material_ER,Material_PAM,Material_PET,Material_PlasticAdditive,Material_PBT,Material_PU,Material_PET_PEST,Material_PAN,Material_Silicone,Material_Acrylic,Material_Vinyl,Material_Vinyon,Material_Other,Material_PA_ER,Material_PTT,Material_PE_PP,Material_PPS,Material_Rayon,Material_PAA,Material_PMPS,Material_PI,Material_Olefin,Material_Styrene_Butadiene,Material_PBA,Material_PMMA,Material_Cellophane,Material_SAN,Material_PC,Material_PDMS,Material_PLA,Material_PTFE,Material_SBR,Material_PET_Olefin,Material_PES,Material_ABS,Material_LDPE,Material_PEVA,Material_AR,Material_PVA,Material_PPE,Morphology_Fragment,Morphology_Fiber,Morphology_Nurdle,Morphology_Film,Morphology_Foam,Morphology_Sphere,Morphology_Line,Morphology_Bead,Morphology_Sheet,Morphology_Film_Fragment,Morphology_Rubbery_Fragment,Size_3000um,Size_2_5mm,Size_1_5mm,Size_1_2mm,Size_0.5_1mm,Size_less_than_0.5mm,Size_500um,Size_300_500um,Size_125_300um,Size_100_500um,Size_greater_than_100um,Size_50_150um,Size_50_100um,Size_50um,Size_45_125um,Size_greater_than_25um,Size_20um_5mm,Size_20_100um,Size_20_50um,Size_10_50um,Size_10_45um,Size_10_20um,Size_greater_than_10um,Size_8_316um,Size_5_100um,Size_5_10um,Size_4_10um,Size_1.5_5um,Size_less_than_1.5um,Size_1_100um,Size_1_50um,Size_1_10um,Size_1_5um,Size_110_124nm,Size_0_20um
10.1016/j.watres.2017.11.011,1|10.1016/j.watres.2017.11.011,,Germany,51.1638175,10.4478313,bottled water,,14,particles/L,,,,,,,,,,,,0.59,0.09,0.01,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,0.05,,,,,,0.22,,,0.3,,,,0.41,,,,,,,,,
10.1016/j.watres.2017.11.011,2|10.1016/j.watres.2017.11.011,,Germany,51.1638175,10.4478313,bottled water,,118,particles/L,,,,,,,,,,,,0.84,0.05,0.07,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,0.02,,,,,,0.12,,,0.29,,,,0.56,,,,,,,,,
10.1016/j.watres.2017.11.011,3|10.1016/j.watres.2017.11.011,,Germany,51.1638175,10.4478313,bottled water,,50,particles/L,,,,,,,,,,,,0.41,0.35,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,,0.07,,,,,,0.14,,,0.32,,,,0.45,,,,,,,,,
10.1016/j.watres.2017.11.011,4|10.1016/j.watres.2017.11.011,,Germany,51.1638175,10.4478313,bottled water,,11,particles/L,,,,,,,,,,,,0.32,0.38,0.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07,,0.1,,,,,,0.16,,,0.28,,,,0.39,,,,,,,,,
10.1039/c6ay01184e,1|10.1039/c6ay01184e,,Germany,51.1638175,10.4478313,bottled water,,19-Oct,particles/0.33 L,,,,,,,,,,,,,Present,,,Present,Present,Present,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Present,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Present,,
10.1039/c6ay01184e,2|10.1039/c6ay01184e,,Germany,51.1638175,10.4478313,bottled water,,1,particles/0.33 L,,,,,,,,,,,,,,,,,,,,,,Present,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Present,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.3389/fchem.2018.00407,IB|101119.10.3389/fchem.2018.00407,,"Jakarta, Indonesia",-6.1753942,106.827183,bottled water,,37.1,particles/L,,,,,,,,,,,,0.06,0.1,0.54,0.16,,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.65,0.13,0.03,0.14,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.3389/fchem.2018.00407,BB 311019 08: 11 PSRL6|10.3389/fchem.2018.00407,,"Bali, Indonesia",-8.3304977,115.0906401,bottled water,,705,particles/L,,,,,,,,,,,,0.06,0.1,0.54,0.16,,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.65,0.13,0.03,0.14,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.3389/fchem.2018.00407,BB 311019 09: 50 STB1|10.3389/fchem.2018.00407,,"Medan, Indonesia",3.5896654,98.6738261,bottled water,,404,particles/L,,,,,,,,,,,,0.06,0.1,0.54,0.16,,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.65,0.13,0.03,0.14,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.3389/fchem.2018.00407,Oct0719|10.3389/fchem.2018.00407,,,,,bottled water,,252,particles/L,,,,,,,,,,,,0.06,0.1,0.54,0.16,,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.65,0.13,0.03,0.14,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
