SampleID,SubsampleID,Color,Percentage
C.10.18520/cs/v117/i11/1874-1879,N/A,red,N/A
C.10.18520/cs/v117/i11/1874-1879,N/A,white,N/A
C.10.18520/cs/v117/i11/1874-1879,N/A,yellow,N/A
B1.10.18520/cs/v117/i11/1874-1879,N/A,blue,N/A
B1.10.18520/cs/v117/i11/1874-1879,N/A,white,N/A
B1.10.18520/cs/v117/i11/1874-1879,N/A,yellow,N/A
B2.10.18520/cs/v117/i11/1874-1879,N/A,pink,N/A
B2.10.18520/cs/v117/i11/1874-1879,N/A,white,N/A
B3.10.18520/cs/v117/i11/1874-1879,N/A,blue,N/A
B3.10.18520/cs/v117/i11/1874-1879,N/A,white,N/A
B4.10.18520/cs/v117/i11/1874-1879,N/A,blue,N/A
B4.10.18520/cs/v117/i11/1874-1879,N/A,white,N/A
B4.10.18520/cs/v117/i11/1874-1879,N/A,yellow,N/A
B5.10.18520/cs/v117/i11/1874-1879,N/A,yellow,N/A
AverageAll_10.1016/j.envres.2022.112855,N/A,transparent,86.3%
TCQS.10.1016/j.scitotenv.2021.148001,N/A,black,48.15%
TCQS.10.1016/j.scitotenv.2021.148001,N/A,transparent,14.47%
TCQS.10.1016/j.scitotenv.2021.148001,N/A,other,7.55%
TCQS.10.1016/j.scitotenv.2021.148001,N/A,red,13.25%
TCQS.10.1016/j.scitotenv.2021.148001,N/A,white,1.03%
TCQS.10.1016/j.scitotenv.2021.148001,N/A,blue,15.28%
SHN.10.1016/j.scitotenv.2021.148001,N/A,black,48.15%
SHN.10.1016/j.scitotenv.2021.148001,N/A,transparent,14.47%
SHN.10.1016/j.scitotenv.2021.148001,N/A,other,7.55%
SHN.10.1016/j.scitotenv.2021.148001,N/A,red,13.25%
SHN.10.1016/j.scitotenv.2021.148001,N/A,white,1.03%
SHN.10.1016/j.scitotenv.2021.148001,N/A,blue,15.28%
CHQ.10.1016/j.scitotenv.2021.148001,N/A,black,48.15%
CHQ.10.1016/j.scitotenv.2021.148001,N/A,transparent,14.47%
CHQ.10.1016/j.scitotenv.2021.148001,N/A,other,7.55%
CHQ.10.1016/j.scitotenv.2021.148001,N/A,red,13.25%
CHQ.10.1016/j.scitotenv.2021.148001,N/A,white,1.03%
CHQ.10.1016/j.scitotenv.2021.148001,N/A,blue,15.28%
CHH.10.1016/j.scitotenv.2021.148001,N/A,black,48.15%
CHH.10.1016/j.scitotenv.2021.148001,N/A,transparent,14.47%
CHH.10.1016/j.scitotenv.2021.148001,N/A,other,7.55%
CHH.10.1016/j.scitotenv.2021.148001,N/A,red,13.25%
CHH.10.1016/j.scitotenv.2021.148001,N/A,white,1.03%
