SampleID,SubsampleID,Morphology,Percentage
1.10.1039/c6ay01184e,N/A,Fibers,N/A
2.10.1039/c6ay01184e,N/A,Fibers,N/A
IB 101119.10.3389/fchem.2018.00407,N/A,Fragment,65%
IB 101119.10.3389/fchem.2018.00407,N/A,Fibers,13%
IB 101119.10.3389/fchem.2018.00407,N/A,Pellet,3%
IB 101119.10.3389/fchem.2018.00407,N/A,Film,14%
IB 101119.10.3389/fchem.2018.00407,N/A,Foam,5%
BB 311019 08: 11 PSRL6.10.3389/fchem.2018.00407,N/A,Fragment,65%
BB 311019 08: 11 PSRL6.10.3389/fchem.2018.00407,N/A,Fibers,13%
BB 311019 08: 11 PSRL6.10.3389/fchem.2018.00407,N/A,Pellet,3%
BB 311019 08: 11 PSRL6.10.3389/fchem.2018.00407,N/A,Film,14%
BB 311019 08: 11 PSRL6.10.3389/fchem.2018.00407,N/A,Foam,5%
BB 311019 09: 50 STB1.10.3389/fchem.2018.00407,N/A,Fragment,65%
BB 311019 09: 50 STB1.10.3389/fchem.2018.00407,N/A,Fibers,13%
BB 311019 09: 50 STB1.10.3389/fchem.2018.00407,N/A,Pellet,3%
BB 311019 09: 50 STB1.10.3389/fchem.2018.00407,N/A,Film,14%
BB 311019 09: 50 STB1.10.3389/fchem.2018.00407,N/A,Foam,5%
Oct0719.10.3389/fchem.2018.00407,N/A,Fragment,65%
Oct0719.10.3389/fchem.2018.00407,N/A,Fibers,13%
Oct0719.10.3389/fchem.2018.00407,N/A,Pellet,3%
Oct0719.10.3389/fchem.2018.00407,N/A,Film,14%
Oct0719.10.3389/fchem.2018.00407,N/A,Foam,5%
BN7141A04117.10.3389/fchem.2018.00407,N/A,Fragment,65%
BN7141A04117.10.3389/fchem.2018.00407,N/A,Fibers,13%
BN7141A04117.10.3389/fchem.2018.00407,N/A,Pellet,3%
BN7141A04117.10.3389/fchem.2018.00407,N/A,Film,14%
BN7141A04117.10.3389/fchem.2018.00407,N/A,Foam,5%
HE.B.No 229 (BM/AS).10.3389/fchem.2018.00407,N/A,Fragment,65%
HE.B.No 229 (BM/AS).10.3389/fchem.2018.00407,N/A,Fibers,13%
HE.B.No 229 (BM/AS).10.3389/fchem.2018.00407,N/A,Pellet,3%
HE.B.No 229 (BM/AS).10.3389/fchem.2018.00407,N/A,Film,14%
HE.B.No 229 (BM/AS).10.3389/fchem.2018.00407,N/A,Foam,5%
MU.N.No.298 (MA/AD).10.3389/fchem.2018.00407,N/A,Fragment,65%
MU.N.No.298 (MA/AD).10.3389/fchem.2018.00407,N/A,Fibers,13%
MU.N.No.298 (MA/AD).10.3389/fchem.2018.00407,N/A,Pellet,3%
MU.N.No.298 (MA/AD).10.3389/fchem.2018.00407,N/A,Film,14%
MU.N.No.298 (MA/AD).10.3389/fchem.2018.00407,N/A,Foam,5%
SO.B No.087 (AS/LB).10.3389/fchem.2018.00407,N/A,Fragment,65%
SO.B No.087 (AS/LB).10.3389/fchem.2018.00407,N/A,Fibers,13%
SO.B No.087 (AS/LB).10.3389/fchem.2018.00407,N/A,Pellet,3%
SO.B No.087 (AS/LB).10.3389/fchem.2018.00407,N/A,Film,14%
SO.B No.087 (AS/LB).10.3389/fchem.2018.00407,N/A,Foam,5%
Oct 0118NHBRB.10.3389/fchem.2018.00407,N/A,Fragment,65%
Oct 0118NHBRB.10.3389/fchem.2018.00407,N/A,Fibers,13%
Oct 0118NHBRB.10.3389/fchem.2018.00407,N/A,Pellet,3%
Oct 0118NHBRB.10.3389/fchem.2018.00407,N/A,Film,14%
Oct 0118NHBRB.10.3389/fchem.2018.00407,N/A,Foam,5%
P18NOV17CG3.10.3389/fchem.2018.00407,N/A,Fragment,65%
P18NOV17CG3.10.3389/fchem.2018.00407,N/A,Fibers,13%
P18NOV17CG3.10.3389/fchem.2018.00407,N/A,Pellet,3%
P18NOV17CG3.10.3389/fchem.2018.00407,N/A,Film,14%
P18NOV17CG3.10.3389/fchem.2018.00407,N/A,Foam,5%
17.11.18.10.3389/fchem.2018.00407,N/A,Fragment,65%
17.11.18.10.3389/fchem.2018.00407,N/A,Fibers,13%
17.11.18.10.3389/fchem.2018.00407,N/A,Pellet,3%
17.11.18.10.3389/fchem.2018.00407,N/A,Film,14%
17.11.18.10.3389/fchem.2018.00407,N/A,Foam,5%
14.10.18.10.3389/fchem.2018.00407,N/A,Fragment,65%
14.10.18.10.3389/fchem.2018.00407,N/A,Fibers,13%
14.10.18.10.3389/fchem.2018.00407,N/A,Pellet,3%
14.10.18.10.3389/fchem.2018.00407,N/A,Film,14%
14.10.18.10.3389/fchem.2018.00407,N/A,Foam,5%
09.08.18.10.3389/fchem.2018.00407,N/A,Fragment,65%
09.08.18.10.3389/fchem.2018.00407,N/A,Fibers,13%
09.08.18.10.3389/fchem.2018.00407,N/A,Pellet,3%
09.08.18.10.3389/fchem.2018.00407,N/A,Film,14%
09.08.18.10.3389/fchem.2018.00407,N/A,Foam,5%
PRD 03 21 2017 14:02.10.3389/fchem.2018.00407,N/A,Fragment,65%
PRD 03 21 2017 14:02.10.3389/fchem.2018.00407,N/A,Fibers,13%
PRD 03 21 2017 14:02.10.3389/fchem.2018.00407,N/A,Pellet,3%
"PRD 03 21 2017 14:02.10.3389/fchem.2018.00407	N/A",N/A,Film,14%
PRD 03 21 2017 14:02.10.3389/fchem.2018.00407,N/A,Foam,5%
PRD 05 24 17 11:29.10.3389/fchem.2018.00407,N/A,Fragment,65%
PRD 05 24 17 11:29.10.3389/fchem.2018.00407,N/A,Fibers,13%
PRD 05 24 17 11:29.10.3389/fchem.2018.00407,N/A,Pellet,3%
PRD 05 24 17 11:29.10.3389/fchem.2018.00407,N/A,Film,14%
PRD 05 24 17 11:29.10.3389/fchem.2018.00407,N/A,Foam,5%
07.142018 2.10.3389/fchem.2018.00407,N/A,Fragment,65%
07.142018 2.10.3389/fchem.2018.00407,N/A,Fibers,13%
07.142018 2.10.3389/fchem.2018.00407,N/A,Pellet,3%
07.142018 2.10.3389/fchem.2018.00407,N/A,Film,14%
07.142018 2.10.3389/fchem.2018.00407,N/A,Foam,5%
NV No. AC-51-07269.10.3389/fchem.2018.00407,N/A,Fragment,65%
NV No. AC-51-07269.10.3389/fchem.2018.00407,N/A,Fibers,13%
NV No. AC-51-07269.10.3389/fchem.2018.00407,N/A,Pellet,3%
NV No. AC-51-07269.10.3389/fchem.2018.00407,N/A,Film,14%
NV No. AC-51-07269.10.3389/fchem.2018.00407,N/A,Foam,5%
FAB: 211017 09:06SP.10.3389/fchem.2018.00407,N/A,Fragment,65%
FAB: 211017 09:06SP.10.3389/fchem.2018.00407,N/A,Fibers,13%
FAB: 211017 09:06SP.10.3389/fchem.2018.00407,N/A,Pellet,3%
FAB: 211017 09:06SP.10.3389/fchem.2018.00407,N/A,Film,14%
FAB: 211017 09:06SP.10.3389/fchem.2018.00407,N/A,Foam,5%
FAB: 160817 15:05SP.10.3389/fchem.2018.00407,N/A,Fragment,65%
FAB: 160817 15:05SP.10.3389/fchem.2018.00407,N/A,Fibers,13%
FAB: 160817 15:05SP.10.3389/fchem.2018.00407,N/A,Pellet,3%
FAB: 160817 15:05SP.10.3389/fchem.2018.00407,N/A,Film,14%
FAB: 160817 15:05SP.10.3389/fchem.2018.00407,N/A,Foam,5%
FAB: 091217 16:53SP.10.3389/fchem.2018.00407,N/A,Fragment,65%
FAB: 091217 16:53SP.10.3389/fchem.2018.00407,N/A,Fibers,13%
FAB: 091217 16:53SP.10.3389/fchem.2018.00407,N/A,Pellet,3%
FAB: 091217 16:53SP.10.3389/fchem.2018.00407,N/A,Film,14%
FAB: 091217 16:53SP.10.3389/fchem.2018.00407,N/A,Foam,5%
100517 278WF246.10.3389/fchem.2018.00407,N/A,Fragment,65%
100517 278WF246.10.3389/fchem.2018.00407,N/A,Fibers,13%
100517 278WF246.10.3389/fchem.2018.00407,N/A,Pellet,3%
100517 278WF246.10.3389/fchem.2018.00407,N/A,Film,14%
100517 278WF246.10.3389/fchem.2018.00407,N/A,Foam,5%
P: 4/11/17 03:34 AZ.10.3389/fchem.2018.00407,N/A,Fragment,65%
P: 4/11/17 03:34 AZ.10.3389/fchem.2018.00407,N/A,Fibers,13%
P: 4/11/17 03:34 AZ.10.3389/fchem.2018.00407,N/A,Pellet,3%
P: 4/11/17 03:34 AZ.10.3389/fchem.2018.00407,N/A,Film,14%
P: 4/11/17 03:34 AZ.10.3389/fchem.2018.00407,N/A,Foam,5%
730805210A 23:28.10.3389/fchem.2018.00407,N/A,Fragment,65%
730805210A 23:28.10.3389/fchem.2018.00407,N/A,Fibers,13%
730805210A 23:28.10.3389/fchem.2018.00407,N/A,Pellet,3%
730805210A 23:28.10.3389/fchem.2018.00407,N/A,Film,14%
730805210A 23:28.10.3389/fchem.2018.00407,N/A,Foam,5%
BBE 11.2018 10.10.3389/fchem.2018.00407,N/A,Fragment,65%
BBE 11.2018 10.10.3389/fchem.2018.00407,N/A,Fibers,13%
BBE 11.2018 10.10.3389/fchem.2018.00407,N/A,Pellet,3%
BBE 11.2018 10.10.3389/fchem.2018.00407,N/A,Film,14%
BBE 11.2018 10.10.3389/fchem.2018.00407,N/A,Foam,5%
20171102 1214JN.10.3389/fchem.2018.00407,N/A,Fragment,65%
20171102 1214JN.10.3389/fchem.2018.00407,N/A,Fibers,13%
20171102 1214JN.10.3389/fchem.2018.00407,N/A,Pellet,3%
20171102 1214JN.10.3389/fchem.2018.00407,N/A,Film,14%
20171102 1214JN.10.3389/fchem.2018.00407,N/A,Foam,5%
20171021 3214GH.10.3389/fchem.2018.00407,N/A,Fragment,65%
20171021 3214GH.10.3389/fchem.2018.00407,N/A,Fibers,13%
20171021 3214GH.10.3389/fchem.2018.00407,N/A,Pellet,3%
