SampleID,SubsampleID,Polymer,Percentage
1.10.1016/j.watres.2017.11.011,N/A,PEST,59%
1.10.1016/j.watres.2017.11.011,N/A,PE,9%
1.10.1016/j.watres.2017.11.011,N/A,PP,1%
1.10.1016/j.watres.2017.11.011,N/A,PA,1%
2.10.1016/j.watres.2017.11.011,N/A,PEST,84%
2.10.1016/j.watres.2017.11.011,N/A,PE,5%
2.10.1016/j.watres.2017.11.011,N/A,PP,7%
2.10.1016/j.watres.2017.11.011,N/A,PA,2%
3.10.1016/j.watres.2017.11.011,N/A,PEST,41%
3.10.1016/j.watres.2017.11.011,N/A,PE,35%
3.10.1016/j.watres.2017.11.011,N/A,PP,8%
4.10.1016/j.watres.2017.11.011,N/A,PE,38%
4.10.1016/j.watres.2017.11.011,N/A,PEST,32%
4.10.1016/j.watres.2017.11.011,N/A,PP,26%
1.10.1039/c6ay01184e,N/A,PS,N/A
1.10.1039/c6ay01184e,N/A,PE+PS,N/A
1.10.1039/c6ay01184e,N/A,PE,N/A
1.10.1039/c6ay01184e,N/A,Cellulose,N/A
2.10.1039/c6ay01184e,N/A,PET,N/A
IB 101119.10.3389/fchem.2018.00407,N/A,PP,54%
IB 101119.10.3389/fchem.2018.00407,N/A,Nylon,16%
IB 101119.10.3389/fchem.2018.00407,N/A,PS,11%
IB 101119.10.3389/fchem.2018.00407,N/A,PE,10%
IB 101119.10.3389/fchem.2018.00407,N/A,PEST,6%
BB 311019 08: 11 PSRL6.10.3389/fchem.2018.00407,N/A,PP,54%
BB 311019 08: 11 PSRL6.10.3389/fchem.2018.00407,N/A,Nylon,16%
BB 311019 08: 11 PSRL6.10.3389/fchem.2018.00407,N/A,PS,11%
BB 311019 08: 11 PSRL6.10.3389/fchem.2018.00407,N/A,PE,10%
BB 311019 08: 11 PSRL6.10.3389/fchem.2018.00407,N/A,PEST,6%
BB 311019 09: 50 STB1.10.3389/fchem.2018.00407,N/A,PP,54%
BB 311019 09: 50 STB1.10.3389/fchem.2018.00407,N/A,Nylon,16%
BB 311019 09: 50 STB1.10.3389/fchem.2018.00407,N/A,PS,11%
BB 311019 09: 50 STB1.10.3389/fchem.2018.00407,N/A,PE,10%
BB 311019 09: 50 STB1.10.3389/fchem.2018.00407,N/A,PEST,6%
Oct0719.10.3389/fchem.2018.00407,N/A,PP,54%
Oct0719.10.3389/fchem.2018.00407,N/A,Nylon,16%
Oct0719.10.3389/fchem.2018.00407,N/A,PS,11%
Oct0719.10.3389/fchem.2018.00407,N/A,PE,10%
Oct0719.10.3389/fchem.2018.00407,N/A,PEST,6%
BN7141A04117.10.3389/fchem.2018.00407,N/A,PP,54%
BN7141A04117.10.3389/fchem.2018.00407,N/A,Nylon,16%
BN7141A04117.10.3389/fchem.2018.00407,N/A,PS,11%
BN7141A04117.10.3389/fchem.2018.00407,N/A,PE,10%
BN7141A04117.10.3389/fchem.2018.00407,N/A,PEST,6%
HE.B.No 229 (BM/AS).10.3389/fchem.2018.00407,N/A,PP,54%
HE.B.No 229 (BM/AS).10.3389/fchem.2018.00407,N/A,Nylon,16%
HE.B.No 229 (BM/AS).10.3389/fchem.2018.00407,N/A,PS,11%
HE.B.No 229 (BM/AS).10.3389/fchem.2018.00407,N/A,PE,10%
HE.B.No 229 (BM/AS).10.3389/fchem.2018.00407,N/A,PEST,6%
MU.N.No.298 (MA/AD).10.3389/fchem.2018.00407,N/A,PP,54%
MU.N.No.298 (MA/AD).10.3389/fchem.2018.00407,N/A,Nylon,16%
MU.N.No.298 (MA/AD).10.3389/fchem.2018.00407,N/A,PS,11%
MU.N.No.298 (MA/AD).10.3389/fchem.2018.00407,N/A,PE,10%
MU.N.No.298 (MA/AD).10.3389/fchem.2018.00407,N/A,PEST,6%
SO.B No.087 (AS/LB).10.3389/fchem.2018.00407,N/A,PP,54%
SO.B No.087 (AS/LB).10.3389/fchem.2018.00407,N/A,Nylon,16%
SO.B No.087 (AS/LB).10.3389/fchem.2018.00407,N/A,PS,11%
SO.B No.087 (AS/LB).10.3389/fchem.2018.00407,N/A,PE,10%
SO.B No.087 (AS/LB).10.3389/fchem.2018.00407,N/A,PEST,6%
Oct 0118NHBRB.10.3389/fchem.2018.00407,N/A,PP,54%
Oct 0118NHBRB.10.3389/fchem.2018.00407,N/A,Nylon,16%
Oct 0118NHBRB.10.3389/fchem.2018.00407,N/A,PS,11%
Oct 0118NHBRB.10.3389/fchem.2018.00407,N/A,PE,10%
Oct 0118NHBRB.10.3389/fchem.2018.00407,N/A,PEST,6%
P18NOV17CG3.10.3389/fchem.2018.00407,N/A,PP,54%
P18NOV17CG3.10.3389/fchem.2018.00407,N/A,Nylon,16%
P18NOV17CG3.10.3389/fchem.2018.00407,N/A,PS,11%
P18NOV17CG3.10.3389/fchem.2018.00407,N/A,PE,10%
P18NOV17CG3.10.3389/fchem.2018.00407,N/A,PEST,6%
17.11.18.10.3389/fchem.2018.00407,N/A,PP,54%
17.11.18.10.3389/fchem.2018.00407,N/A,Nylon,16%
17.11.18.10.3389/fchem.2018.00407,N/A,PS,11%
17.11.18.10.3389/fchem.2018.00407,N/A,PE,10%
17.11.18.10.3389/fchem.2018.00407,N/A,PEST,6%
14.10.18.10.3389/fchem.2018.00407,N/A,PP,54%
14.10.18.10.3389/fchem.2018.00407,N/A,Nylon,16%
14.10.18.10.3389/fchem.2018.00407,N/A,PS,11%
14.10.18.10.3389/fchem.2018.00407,N/A,PE,10%
14.10.18.10.3389/fchem.2018.00407,N/A,PEST,6%
09.08.18.10.3389/fchem.2018.00407,N/A,PP,54%
09.08.18.10.3389/fchem.2018.00407,N/A,Nylon,16%
09.08.18.10.3389/fchem.2018.00407,N/A,PS,11%
09.08.18.10.3389/fchem.2018.00407,N/A,PE,10%
09.08.18.10.3389/fchem.2018.00407,N/A,PEST,6%
PRD 03 21 2017 14:02.10.3389/fchem.2018.00407,N/A,PP,54%
PRD 03 21 2017 14:02.10.3389/fchem.2018.00407,N/A,Nylon,16%
PRD 03 21 2017 14:02.10.3389/fchem.2018.00407,N/A,PS,11%
PRD 03 21 2017 14:02.10.3389/fchem.2018.00407,N/A,PE,10%
PRD 03 21 2017 14:02.10.3389/fchem.2018.00407,N/A,PEST,6%
PRD 05 24 17 11:29.10.3389/fchem.2018.00407,N/A,PP,54%
PRD 05 24 17 11:29.10.3389/fchem.2018.00407,N/A,Nylon,16%
PRD 05 24 17 11:29.10.3389/fchem.2018.00407,N/A,PS,11%
PRD 05 24 17 11:29.10.3389/fchem.2018.00407,N/A,PE,10%
PRD 05 24 17 11:29.10.3389/fchem.2018.00407,N/A,PEST,6%
07.142018 2.10.3389/fchem.2018.00407,N/A,PP,54%
07.142018 2.10.3389/fchem.2018.00407,N/A,Nylon,16%
07.142018 2.10.3389/fchem.2018.00407,N/A,PS,11%
07.142018 2.10.3389/fchem.2018.00407,N/A,PE,10%
