DOI,Sample_ID,Subsample_ID,Location,Source,Date,Concentration,Concentration_Units
10.1016/j.watres.2017.11.011,1.10.1016/j.watres.2017.11.011,N/A,Germany,Single Use Bottles,N/A,14,particles/L
10.1016/j.watres.2017.11.011,2.10.1016/j.watres.2017.11.011,N/A,Germany,Resuable Bottles,N/A,118,particles/L
10.1016/j.watres.2017.11.011,3.10.1016/j.watres.2017.11.011,N/A,Germany,Glass Water Bottles,N/A,50,particles/L
10.1016/j.watres.2017.11.011,4.10.1016/j.watres.2017.11.011,N/A,Germany,Beverage Cartons,N/A,11,particles/L
10.1039/c6ay01184e,1.10.1039/c6ay01184e,N/A,Germany,Beer bottles,N/A,19-Oct,particles/0.33 L
10.1039/c6ay01184e,2.10.1039/c6ay01184e,N/A,Germany,Bottled mineral water,N/A,1,particles/0.33 L
10.3389/fchem.2018.00407,IB 101119.10.3389/fchem.2018.00407,N/A,"Jakarta, Indonesia",Aqua (bottled water brand),N/A,37.1,particles/L
10.3389/fchem.2018.00407,BB 311019 08: 11 PSRL6.10.3389/fchem.2018.00407,N/A,"Bali, Indonesia",Aqua (bottled water brand),N/A,705,particles/L
10.3389/fchem.2018.00407,BB 311019 09: 50 STB1.10.3389/fchem.2018.00407,N/A,"Medan, Indonesia",Aqua (bottled water brand),N/A,404,particles/L
10.3389/fchem.2018.00407,Oct0719.10.3389/fchem.2018.00407,N/A,N/A,"Aquafina (bottled water brand, purchased on Amazon)",N/A,252,particles/L
10.3389/fchem.2018.00407,BN7141A04117.10.3389/fchem.2018.00407,N/A,"Chennai, India",Aquafina (bottled water brand),N/A,174,particles/L
10.3389/fchem.2018.00407,HE.B.No 229 (BM/AS).10.3389/fchem.2018.00407,N/A,"Chennai, India",Bisleri (bottled water brand),N/A,826,particles/L
10.3389/fchem.2018.00407,MU.N.No.298 (MA/AD).10.3389/fchem.2018.00407,N/A,"Mumbai, India",Bisleri (bottled water brand),N/A,213,particles/L
10.3389/fchem.2018.00407,SO.B No.087 (AS/LB).10.3389/fchem.2018.00407,N/A,"New Delhi, India",Bisleri (bottled water brand),N/A,3.72,particles/L
10.3389/fchem.2018.00407,Oct 0118NHBRB.10.3389/fchem.2018.00407,N/A,N/A,"Dasani (bottled water brand, purchased on Amazon)",N/A,165,particles/L
10.3389/fchem.2018.00407,P18NOV17CG3.10.3389/fchem.2018.00407,N/A,"Nairobi, Kenya",Dasani (bottled water brand),N/A,74.6,particles/L
10.3389/fchem.2018.00407,17.11.18.10.3389/fchem.2018.00407,N/A,"Mexico City, Mexico",E-Pura (bottled water brand),11/17/18,686,particles/L
10.3389/fchem.2018.00407,14.10.18.10.3389/fchem.2018.00407,N/A,"Tijuana, Mexico",E-Pura (bottled water brand),10/14/18,20.0,particles/L
10.3389/fchem.2018.00407,09.08.18.10.3389/fchem.2018.00407,N/A,"Reynosa, Mexico",E-Pura (bottled water brand),8/9/18,37.3,particles/L
10.3389/fchem.2018.00407,PRD 03 21 2017 14:02.10.3389/fchem.2018.00407,N/A,N/A,"Evian (bottled water brand, purchased on Amazon)",N/A,197,particles/L
10.3389/fchem.2018.00407,PRD 05 24 17 11:29.10.3389/fchem.2018.00407,N/A,"Fredonia, NY, USA",Evian (bottled water brand),N/A,58.2,particles/L
10.3389/fchem.2018.00407,07.142018 2.10.3389/fchem.2018.00407,N/A,"Fredonia, NY, USA",Gerolsteiner (bottled water brand),N/A,1410,particles/L
10.3389/fchem.2018.00407,NV No. AC-51-07269.10.3389/fchem.2018.00407,N/A,N/A,"Gerolsteiner (bottled water brand, purchased on Amazon)",N/A,204,particles/L
10.3389/fchem.2018.00407,FAB: 211017 09:06SP.10.3389/fchem.2018.00407,N/A,"Sao Paulo, Brazil",Minalba (bottled water brand),N/A,40.1,particles/L
10.3389/fchem.2018.00407,FAB: 160817 15:05SP.10.3389/fchem.2018.00407,N/A,"Aparecida de Goiania, Brazil",Minalba (bottled water brand),N/A,12.5,particles/L
10.3389/fchem.2018.00407,FAB: 091217 16:53SP.10.3389/fchem.2018.00407,N/A,"Rio de Janerio, Brazil",Minalba (bottled water brand),N/A,150,particles/L
10.3389/fchem.2018.00407,100517 278WF246.10.3389/fchem.2018.00407,N/A,N/A,"Nestle Pure Life (bottled water brand, purchased on Amazon)",N/A,2277,particles/L
10.3389/fchem.2018.00407,P: 4/11/17 03:34 AZ.10.3389/fchem.2018.00407,N/A,"Beirut, Lebanon",Nestle Pure Life (bottled water brand),N/A,49.3,particles/L
10.3389/fchem.2018.00407,730805210A 23:28.10.3389/fchem.2018.00407,N/A,"Bangkok, Thailand",Nestle Pure Life (bottled water brand),N/A,468,particles/L
10.3389/fchem.2018.00407,BBE 11.2018 10.10.3389/fchem.2018.00407,N/A,N/A,"San Pellegrino (bottled water brand, purchased on Amazon)",N/A,30.3,particles/L
10.3389/fchem.2018.00407,20171102 1214JN.10.3389/fchem.2018.00407,N/A,"Jinan, China",Wahaha (bottled water brand),N/A,156,particles/L
10.3389/fchem.2018.00407,20171021 3214GH.10.3389/fchem.2018.00407,N/A,"Beijing, China",Wahaha (bottled water brand),N/A,66.7,particles/L
10.3389/fchem.2018.00407,20171103 2106WF.10.3389/fchem.2018.00407,N/A,"Qingdao, China",Wahaha (bottled water brand),N/A,67.1,particles/L
10.1371/journal.pone.0194970,Tap Water_Cuba.10.1371/journal.pone.0194970,N/A,"Havana, Cuba",Tap Water,N/A,7.17,particles/L
10.1371/journal.pone.0194970,Tap Water_Ecuador.10.1371/journal.pone.0194970,N/A,"Quito, Ecuador",Tap Water,N/A,4.02,particles/L
10.1371/journal.pone.0194970,Tap Water_England.10.1371/journal.pone.0194970,N/A,"London, England",Tap Water,N/A,7.73,particles/L
10.1371/journal.pone.0194970,Tap Water_France.10.1371/journal.pone.0194970,N/A,"Paris, France",Tap Water,N/A,1.82,particles/L
10.1371/journal.pone.0194970,Tap Water_Germany.10.1371/journal.pone.0194970,N/A,"Berlin, Germany; Tubingen, Germany",Tap Water,N/A,0.91,particles/L
10.1371/journal.pone.0194970,Tap Water_India.10.1371/journal.pone.0194970,N/A,"Ner Delhi, India",Tap Water,N/A,6.24,particles/L
10.1371/journal.pone.0194970,Tap Water_Indonesia.10.1371/journal.pone.0194970,N/A,"Depok City, Indonesia; Desa Puspanegara, Indonesia; Jakarta, Indonesia; Jatirahayu, Indonesia; Kedaung, Indonesia; Menteng, Indonesia; North Paninggilan, Indonesia; Pasireurih, Indonesia; South Tangerang City, Indonesia; Sukatani, Indonesia; Teluknaga, Indonesia; Warnasari, Indonesia",Tap Water,N/A,3.23,particles/L
10.1371/journal.pone.0194970,Tap Water_Ireland.10.1371/journal.pone.0194970,N/A,"Dublin, Ireland",Tap Water,N/A,1.83,particles/L
10.1371/journal.pone.0194970,Tap Water_Italy.10.1371/journal.pone.0194970,N/A,"Pavia, Italy",Tap Water,N/A,0,particles/L
10.1371/journal.pone.0194970,Tap Water_Lebanon.10.1371/journal.pone.0194970,N/A,"Beirut, Lebanon; Burj el Brajneh, Lebanon; Choueifat, Lebanon; Ghobayreh, Lebanon; Khaldeh, Lebanon; Mreijeh, Lebanon",Tap Water,N/A,6.64,particles/L
10.1371/journal.pone.0194970,Tap Water_Slovakia.10.1371/journal.pone.0194970,N/A,"Brezova pod Bradlom, Slovakia; Kocvce, Slovakia; Piestany, Slovakia; Poprad, Slovakia; Prasnik, Slovakia; Radosina, Slovakia; Ruzomberok, Slovakia",Tap Water,N/A,3.83,particles/L
10.1371/journal.pone.0194970,Tap Water_Switzerland.10.1371/journal.pone.0194970,N/A,"Davos Platz, Switzerland; Gerbertingen, Switzerland",Tap Water,N/A,2.74,particles/L
10.1371/journal.pone.0194970,Tap Water_Uganda.10.1371/journal.pone.0194970,N/A,"Jinja, Uganda; Kampala, Uganda",Tap Water,N/A,3.92,particles/L
