SampleID,SubsampleID,Size,Percentage
1.10.1016/j.watres.2017.11.011,N/A,>100 um,2%
1.10.1016/j.watres.2017.11.011,N/A,50-100 um,5%
1.10.1016/j.watres.2017.11.011,N/A,20-50 um,22%
1.10.1016/j.watres.2017.11.011,N/A,10-20 um,30%
1.10.1016/j.watres.2017.11.011,N/A,5-10 um,41%
2.10.1016/j.watres.2017.11.011,N/A,>100 um,1%
2.10.1016/j.watres.2017.11.011,N/A,50-100 um,2%
2.10.1016/j.watres.2017.11.011,N/A,20-50 um,12%
2.10.1016/j.watres.2017.11.011,N/A,10-20 um,29%
2.10.1016/j.watres.2017.11.011,N/A,5-10 um,56%
3.10.1016/j.watres.2017.11.011,N/A,>100 um,3%
3.10.1016/j.watres.2017.11.011,N/A,50-100 um,7%
3.10.1016/j.watres.2017.11.011,N/A,20-50 um,14%
3.10.1016/j.watres.2017.11.011,N/A,10-20 um,32%
3.10.1016/j.watres.2017.11.011,N/A,5-10 um,45%
4.10.1016/j.watres.2017.11.011,N/A,>100 um,7%
4.10.1016/j.watres.2017.11.011,N/A,50-100 um,10%
4.10.1016/j.watres.2017.11.011,N/A,20-50 um,16%
4.10.1016/j.watres.2017.11.011,N/A,10-20 um,28%
4.10.1016/j.watres.2017.11.011,N/A,5-10 um,39%
1.10.1039/c6ay01184e,N/A,1-5 mm,N/A
WTP1_Treated.10.1016/j.sciotenv.2018.08.178,N/A,1-5 um,25-60%
WTP1_Treated.10.1016/j.sciotenv.2018.08.178,N/A,5-10 um,30-50%
WTP1_Treated.10.1016/j.sciotenv.2018.08.178,N/A,10-50 um,remaining percent
WTP2_Treated.10.1016/j.sciotenv.2018.08.178,N/A,1-5 um,25-60%
WTP2_Treated.10.1016/j.sciotenv.2018.08.178,N/A,5-10 um,30-50%
WTP2_Treated.10.1016/j.sciotenv.2018.08.178,N/A,10-50 um,remaining percent
WTP3_Treated.10.1016/j.sciotenv.2018.08.178,N/A,1-5 um,25-60%
WTP3_Treated.10.1016/j.sciotenv.2018.08.178,N/A,5-10 um,30-50%
WTP3_Treated.10.1016/j.sciotenv.2018.08.178,N/A,10-50 um,remaining percent
settled_10.1016/j.chemosphere.2021.132587,N/A,10-45 um,N/A
settled_10.1016/j.chemosphere.2021.132587,N/A,45-125 um,N/A
settled_10.1016/j.chemosphere.2021.132587,N/A,125-300 um,N/A
settled_10.1016/j.chemosphere.2021.132587,N/A,300-500 um,N/A
settled_10.1016/j.chemosphere.2021.132587,N/A,>500 um,N/A
filtered_10.1016/j.chemosphere.2021.132587,N/A,10-45 um,N/A
filtered_10.1016/j.chemosphere.2021.132587,N/A,45-125 um,N/A
filtered_10.1016/j.chemosphere.2021.132587,N/A,125-300 um,N/A
filtered_10.1016/j.chemosphere.2021.132587,N/A,300-500 um,N/A
filtered_10.1016/j.chemosphere.2021.132587,N/A,>500 um,N/A
clearwell_10.1016/j.chemosphere.2021.132587,N/A,10-45 um,N/A
clearwell_10.1016/j.chemosphere.2021.132587,N/A,45-125 um,N/A
clearwell_10.1016/j.chemosphere.2021.132587,N/A,125-300 um,N/A
clearwell_10.1016/j.chemosphere.2021.132587,N/A,300-500 um,N/A
clearwell_10.1016/j.chemosphere.2021.132587,N/A,>500 um,N/A
distribution_10.1016/j.chemosphere.2021.132587,N/A,10-45 um,N/A
distribution_10.1016/j.chemosphere.2021.132587,N/A,45-125 um,N/A
distribution_10.1016/j.chemosphere.2021.132587,N/A,125-300 um,N/A
distribution_10.1016/j.chemosphere.2021.132587,N/A,300-500 um,N/A
distribution_10.1016/j.chemosphere.2021.132587,N/A,>500 um,N/A
V.10.1016/j.watres.2020.11.6519,N/A,8-316 um,N/A
BJP.10.1016/j.watres.2020.11.6519,N/A,8-316 um,N/A
BJH.10.1016/j.watres.2020.11.6519,N/A,8-316 um,N/A
BOP.10.1016/j.watres.2020.11.6519,N/A,8-316 um,N/A
BOH.10.1016/j.watres.2020.11.6519,N/A,8-316 um,N/A
1.10.1007/s11270-022-05649-y,N/A,50 um,N/A
1.10.1007/s11270-022-05649-y,N/A,500 um,N/A
1.10.1007/s11270-022-05649-y,N/A,3000 um,N/A
1.10.1016/j.scitotenv.2021.152623,N/A,110-124 nm,N/A
A_BioTreatment.10.1016/j.scitotenv.2021.150545,A_BioTreatment_PE.10.1016/j.scitotenv.2021.150545,5-10 um,410 particles
A_BioTreatment.10.1016/j.scitotenv.2021.150545,A_BioTreatment_PE.10.1016/j.scitotenv.2021.150545,10-20 um,200 particles
A_BioTreatment.10.1016/j.scitotenv.2021.150545,A_BioTreatment_PP.10.1016/j.scitotenv.2021.150545,5-10 um,510 particles
A_BioTreatment.10.1016/j.scitotenv.2021.150545,A_BioTreatment_PP.10.1016/j.scitotenv.2021.150545,10-20 um,520 particles
A_BioTreatment.10.1016/j.scitotenv.2021.150545,A_BioTreatment_PP.10.1016/j.scitotenv.2021.150545,100-500 um,0.6 particles
A_BioTreatment.10.1016/j.scitotenv.2021.150545,A_BioTreatment_PP.10.1016/j.scitotenv.2021.150545,20-100 um,12 particles
A_BioTreatment.10.1016/j.scitotenv.2021.150545,A_BioTreatment_PVC.10.1016/j.scitotenv.2021.150545,10-20 um,150 particles
