"","Timestamp","name","Researcher Name","Affiliation","Citation","Instrument name","Analysis Date","Polymer-type of particle","Magnification","Color of particle","Morphology of particle","Size of particle","Size dimension","id"
"1",NA,"01","Fadare and Conkle","Texas A&M University-Corpus Christi","Fadare and Conkle 2022, Taxonomy of Environmentally Weathered Microplastics",NA,2022,"Polyethylene","7-10x","Yellow","Bead","<500 um","Nominal","1eLFTJxZTx1ud-G3FTldc0kCw2v0L-1fe"
"2",NA,"02","Fadare and Conkle","Texas A&M University-Corpus Christi","Fadare and Conkle 2022, Taxonomy of Environmentally Weathered Microplastics","MEIJI TECHNO EMZ-8TR with OptixCAM summit K2",2022,"Polyethylene","7-10x","Blue","Fragment","50-250 um","Nominal","1GlGA0vDgMSJjyaoqYYbX2qPrNsU6XWIb"
"3",NA,"03","Fadare and Conkle","Texas A&M University-Corpus Christi","Fadare and Conkle 2022, Taxonomy of Environmentally Weathered Microplastics","MEIJI TECHNO EMZ-8TR with OptixCAM summit K3",2022,"Polyethylene","7-10x","Purple","Fragment","50-250 um","Nominal","1Fvay4vjN3_gxXqKjpUVGtaZn5-dwgS_T"
"4",NA,"04","Fadare and Conkle","Texas A&M University-Corpus Christi","Fadare and Conkle 2022, Taxonomy of Environmentally Weathered Microplastics","MEIJI TECHNO EMZ-8TR with OptixCAM summit K4",2022,"polystyrene","7-10x","White","Fragment","50-250 um","Nominal","1dNwJCGaTl_2IfdEUpxHm27qewU-JE7Ae"
"5",NA,"05","Fadare and Conkle","Texas A&M University-Corpus Christi","Fadare and Conkle 2022, Taxonomy of Environmentally Weathered Microplastics","MEIJI TECHNO EMZ-8TR with OptixCAM summit K5",2022,"Polyethylene","7-10x","White","Fragment","50-250 um","Nominal","1B6ovQ5VmmzvsEf72607TMT3waxx8FQ2F"
"6",NA,"06","Fadare and Conkle","Texas A&M University-Corpus Christi","Fadare and Conkle 2022, Taxonomy of Environmentally Weathered Microplastics","MEIJI TECHNO EMZ-8TR with OptixCAM summit K6",2022,"Polyethylene","7-10x","Blue","Fragment","50-250 um","Nominal","1WMMV-dbxlEX5d0769rBAGXNIf3qiEwdD"
"7",NA,"07","Fadare and Conkle","Texas A&M University-Corpus Christi","Fadare and Conkle 2022, Taxonomy of Environmentally Weathered Microplastics","MEIJI TECHNO EMZ-8TR with OptixCAM summit K7",2022,"Polyethylene","7-10x","White","Fragment","50-250 um","Nominal","1ZfFlRqhceONSZ2qAFlW6hLyw2ai0useH"
"8",NA,"08","Fadare and Conkle","Texas A&M University-Corpus Christi","Fadare and Conkle 2022, Taxonomy of Environmentally Weathered Microplastics","MEIJI TECHNO EMZ-8TR with OptixCAM summit K8",2022,"Polyethylene","7-10x","Red","Fragment","50-250 um","Nominal","1C15busrE6syuiz0SDwIL9N9l8gRao_GD"
"9",NA,"09","Fadare and Conkle","Texas A&M University-Corpus Christi","Fadare and Conkle 2022, Taxonomy of Environmentally Weathered Microplastics","MEIJI TECHNO EMZ-8TR with OptixCAM summit K9",2022,"Polyethylene","7-10x","White","Fragment","<500 um","Nominal","1ERkfnpNtN9ljf0LJ2rZqcA8wVPkcjAgx"
"10",NA,"10","Fadare and Conkle","Texas A&M University-Corpus Christi","Fadare and Conkle 2022, Taxonomy of Environmentally Weathered Microplastics","MEIJI TECHNO EMZ-8TR with OptixCAM summit K10",2022,"Polyethylene","7-10x","Blue","Fragment","50-250 um","Nominal","1gqU9G8mjmPRIK9H343coBdLwmiHdWQne"
