<<<<<<< HEAD
m_ps_m3,shape,color,width_mm,dim_type,polymer,water_system_name,latitude,longitude,treatment_level,m_ps_m3_2000,m_ps_m3_2001,m_ps_m3_2002,m_ps_m3_2003,m_ps_m3_2004,m_ps_m3_2005,m_ps_m3_2006,m_ps_m3_2007,m_ps_m3_2008,m_ps_m3_2009,m_ps_m3_2010,m_ps_m3_2011,m_ps_m3_2012,m_ps_m3_2013,m_ps_m3_2014,m_ps_m3_2015,m_ps_m3_2016,m_ps_m3_2017,m_ps_m3_2018,m_ps_m3_2019,m_ps_m3_2020,m_ps_m3_2021,m_ps_m3_2022,m_ps_m3_2023,m_ps_m3_2024
1.816745656,Fiber,Black,1.7,meso_small,anthropogenic,consectetur adipiscing elit,34.4605,-117.3646,Filtered,1.334846964,1.558129865,2.880294793,1.648470151,0.900155304,2.379295313,1.195625773,4.03197636,2.2188016,1.135641027,1.571175933,1.954799188,2.764204798,2.872406583,0.341251119,1.532436231,1.212730594,1.847329616,2.512705557,2.005595409,0.440704263,0.844549797,1.110026747,0.16179675,1.816745656
1.816745656,Fiber,Black,2.67,meso_small,NA,eu fugiat nulla pariatur,38.3431,-122.5311,Tertiary,1.629887366,1.458338223,1.726985163,2.059611433,2.2272285,1.906977114,1.719294126,1.126773891,0.514704216,1.030271178,0.360991516,2.199901465,3.991038661,2.55314245,2.197937218,3.01709709,2.744928316,1.901504879,2.128527986,1.662900533,3.030715574,-0.135299263,2.825843366,3.239535389,1.816745656
1.816745656,Fiber,Black,3.86,meso_small,NA,ut enim ad minim veniam,38.3918,-122.3784,Filtered,3.227818128,2.444542122,0.372975941,2.252402109,1.533748411,0.880848109,0.953175824,3.256974968,2.475385,1.131146141,2.320580929,2.075813926,3.162628819,0.090178141,2.003381743,1.432498914,1.014598995,1.515233995,0.716114134,2.777547492,2.508079826,3.771896654,1.994105682,1.766079274,1.816745656
1.816745656,Fiber,Clear,9.02,meso_large,NA,consectetur adipiscing elit,38.699,-121.153,Filtered,1.898476461,2.737231779,2.274424908,2.991600035,-0.289984108,1.498242896,2.36559269,2.569319547,1.114345565,0.135570689,0.564341947,3.808585985,2.253878217,2.190310676,2.677652654,1.966349849,2.756474947,2.398497183,1.528838783,1.72734946,1.127842126,2.630060435,2.861312535,1.665001924,1.816745656
1.816745656,Fiber,Clear,9.02,meso_large,NA,consectetur adipiscing elit,38.699,-121.153,Filtered,1.898476461,2.737231779,2.274424908,2.991600035,-0.289984108,1.498242896,2.36559269,2.569319547,1.114345565,0.135570689,0.564341947,3.808585985,2.253878217,2.190310676,2.677652654,1.966349849,2.756474947,2.398497183,1.528838783,1.72734946,1.127842126,2.630060435,2.861312535,1.665001924,1.816745656
1.816745656,Fiber,Clear,9.02,meso_large,NA,consectetur adipiscing elit,38.699,-121.153,Filtered,1.898476461,2.737231779,2.274424908,2.991600035,-0.289984108,1.498242896,2.36559269,2.569319547,1.114345565,0.135570689,0.564341947,3.808585985,2.253878217,2.190310676,2.677652654,1.966349849,2.756474947,2.398497183,1.528838783,1.72734946,1.127842126,2.630060435,2.861312535,1.665001924,1.816745656
1.816745656,Fiber,Black,1.64,meso_small,NA,sed do eiusmod tempor incididunt,38.3548,-122.5185,Tertiary,1.95098139,1.186897787,2.087230946,1.461013275,2.067155565,3.088624348,1.017922697,1.452042658,1.429325688,1.627218029,1.314392803,1.855888629,0.140794364,3.732016563,2.153446785,2.24874543,2.804643907,0.493976538,1.916706135,4.035557719,2.856473855,1.605249296,3.494680923,2.14079088,1.816745656
1.816745656,Fragment,Other,0.54,micro,NA,eu fugiat nulla pariatur,38.2775,-122.2525,Secondary,3.367484471,2.55555509,1.47765365,3.011606829,0.850230319,1.351848908,1.550292537,1.848264518,2.175308108,0.365559654,2.746947126,2.454809895,-0.246672522,1.546710841,0.729939113,2.567629161,1.64880285,1.838237382,2.923058272,3.149916136,3.494012624,1.899102782,0.80945361,0.485377004,1.816745656
1.816745656,Fiber,Black,54.76,macro,anthropogenic,Excepteur sint occaecat cupidatat non proident,38.2598,-122.2293,Secondary,2.2472101,3.107777904,1.990350492,0.526683017,2.659344317,0.294700386,1.450190977,1.476013593,2.768568299,2.915351741,1.483693354,1.896089233,2.172310877,1.975520647,0.877314845,2.482518635,2.269303087,2.554180495,2.807906993,1.631150148,2.721439975,2.256467651,2.010435196,1.630181966,1.816745656
1.816745656,Fiber,Other,0.89,micro,anthropogenic,Excepteur sint occaecat cupidatat non proident,38.4434,-122.3454,Secondary,0.705472533,1.135054138,3.058706561,1.259267854,-0.354311513,2.80842298,1.974128704,1.923610233,1.40878598,2.220653952,1.762665071,3.471819733,1.911832516,2.292204213,1.461691894,1.416587468,2.900705552,2.603932735,0.330698898,1.336685195,2.921881473,1.460480126,0.918310228,0.277614868,1.816745656
